,_id,ltable_id,rtable_id,ltable_Title,ltable_Authors,ltable_Genres,ltable_Publishing Date,ltable_Pages,ltable_Publisher,ltable_Language,rtable_Title,rtable_Authors,rtable_Genres,rtable_Publishing Date,rtable_Pages,rtable_Publisher,rtable_Language
1519,1519,673,52,Something about You,Julie James,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,25 Jul 2011,323,Penguin Putnam Inc,English,Something About You,Julie James,Romance;Romance;Contemporary Romance;Contemporary;Romance;Romantic Suspense;Womens Fiction;Chick Lit;Adult,March 2nd 2010,307,Berkley Sensation,English
1520,1520,676,52,About That Night,Julie James,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,07 Jun 2012,296,Penguin Putnam Inc,English,Something About You,Julie James,Romance;Romance;Contemporary Romance;Contemporary;Romance;Romantic Suspense;Womens Fiction;Chick Lit;Adult,March 2nd 2010,307,Berkley Sensation,English
1549,1549,2926,52,The Thing About Love,Julie James,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,20 Apr 2017,368,Penguin Putnam Inc,English,Something About You,Julie James,Romance;Romance;Contemporary Romance;Contemporary;Romance;Romantic Suspense;Womens Fiction;Chick Lit;Adult,March 2nd 2010,307,Berkley Sensation,English
1598,1598,1796,52,Much Ado about You,Eloisa James,Historical Romance:Historical Romance,29 Aug 2011,391,HarperCollins Publishers Inc,English,Something About You,Julie James,Romance;Romance;Contemporary Romance;Contemporary;Romance;Romantic Suspense;Womens Fiction;Chick Lit;Adult,March 2nd 2010,307,Berkley Sensation,English
1679,1679,704,55,Just the Sexiest Man Alive,Julie James,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,25 Jul 2011,307,Penguin Putnam Inc,English,Just the Sexiest Man Alive,Julie James,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Adult;Humor;Funny,October 1st 2008,296,Berkley Sensation,English
1848,1848,625,58,Mystery Man,Kristen Ashley,Contemporary Fiction:Thriller Books:Thrillers:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,27 Aug 2013,514,Little Brown & Company,English,Mystery Man,Kristen Ashley,Romance;Contemporary;Romance;Contemporary Romance;Adult,July 11th 2011,406,,
1911,1911,432,60,The Bride,Julie Garwood,Historical Romance:Historical Romance,04 Aug 1993,358,SIMON & SCHUSTER,English,The Bride,Julie Garwood,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Medieval,May 21st 2002,352,Atria Books,English
1983,1983,758,64,Gamble,Kristen Ashley,Contemporary Fiction:Thriller Books:Thrillers:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,27 May 2014,688,Little Brown & Company,English,The Gamble,Kristen Ashley,Romance;Romance;Contemporary Romance;Contemporary,April 18th 2011,629,Amazon Digital Services; Inc.,
2029,2029,546,67,Can You Keep A Secret?,Sophie Kinsella,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,17 Mar 2003,368,Transworld Publishers Ltd,English,Can You Keep a Secret?,Sophie Kinsella,Womens Fiction;Chick Lit;Romance;Fiction;Contemporary;Humor,December 27th 2005,374,Dell Publishing Company,English
2031,2031,615,67,Can You Keep A Secret?,Sophie Kinsella,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,03 Mar 2003,368,Transworld Publishers Ltd,English,Can You Keep a Secret?,Sophie Kinsella,Womens Fiction;Chick Lit;Romance;Fiction;Contemporary;Humor,December 27th 2005,374,Dell Publishing Company,English
2039,2039,1514,67,The Secret Dreamworld Of A Shopaholic : (Shopaholic Book 1),Sophie Kinsella,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,02 Jan 2006,320,Transworld Publishers Ltd,English,Can You Keep a Secret?,Sophie Kinsella,Womens Fiction;Chick Lit;Romance;Fiction;Contemporary;Humor,December 27th 2005,374,Dell Publishing Company,English
2129,2129,2703,70,Sugar Daddy,Lisa Kleypas,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,04 Mar 2008,418,St Martin's Press,English,Sugar Daddy,Lisa Kleypas,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Adult,March 6th 2007,371,St. Martin's Press,English
