,_id,ltable_id,rtable_id,ltable_Title,ltable_Authors,ltable_Genres,ltable_Publishing Date,ltable_Pages,ltable_Publisher,ltable_Language,rtable_Title,rtable_Authors,rtable_Genres,rtable_Publishing Date,rtable_Pages,rtable_Publisher,rtable_Language
18019,18019,1534,515,No Good Duke Goes Unpunished : The Third Rule of Scoundrels,Sarah MacLean,Contemporary Fiction:Historical Romance:Historical Romance,06 Mar 2014,384,AVON BOOKS,English,Eleven Scandals to Start to Win a Duke's Heart,Sarah MacLean,Romance;Historical Romance;Romance;Historical;Historical;Regency;Historical;Historical Fiction;Historical Romance;Regency Romance,April 26th 2011,367,Avon,English
18034,18034,2548,515,Moonlight Over Manhattan : A Charming Heart-Warming and Lovely Read That Won't Disappoint!,Sarah Morgan,Adult & Contemporary Romance:Adult & Contemporary Romance,19 Oct 2017,400,HarperCollins Publishers,English,Eleven Scandals to Start to Win a Duke's Heart,Sarah MacLean,Romance;Historical Romance;Romance;Historical;Historical;Regency;Historical;Historical Fiction;Historical Romance;Regency Romance,April 26th 2011,367,Avon,English
18084,18084,308,517,Wallflower Christmas,Lisa Kleypas,Historical Romance:Historical Romance,02 Nov 2010,214,St Martin's Press,English,A Wallflower Christmas,Lisa Kleypas,Romance;Historical Romance;Historical;Romance;Holiday;Christmas;Historical;Historical Fiction;Historical;Regency,October 14th 2008,213,St. Martin's Press,English
18255,18255,118,526,Lover Reborn,J R Ward,Horror:Horror:Romance:Romance Books,02 Oct 2012,627,Penguin Putnam Inc,English,Lover Reborn,J.R. Ward,Fantasy;Paranormal;Romance;Paranormal Romance;Paranormal;Vampires;Romance;Fantasy,March 27th 2012,572,NAL,English
18261,18261,154,526,Lover Unbound,J R Ward,Romance:Romance Books,25 Jul 2011,509,Penguin Putnam Inc,English,Lover Reborn,J.R. Ward,Fantasy;Paranormal;Romance;Paranormal Romance;Paranormal;Vampires;Romance;Fantasy,March 27th 2012,572,NAL,English
18270,18270,727,526,Lover at Last,J R Ward,Romance:Romance Books,01 Oct 2013,620,Berkley Books,English,Lover Reborn,J.R. Ward,Fantasy;Paranormal;Romance;Paranormal Romance;Paranormal;Vampires;Romance;Fantasy,March 27th 2012,572,NAL,English
18286,18286,2531,526,Lover Reborn : Number 10 in series,J. R. Ward,Fantasy:Fantasy Books:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,05 Oct 2012,656,Little Brown Book Group,English,Lover Reborn,J.R. Ward,Fantasy;Paranormal;Romance;Paranormal Romance;Paranormal;Vampires;Romance;Fantasy,March 27th 2012,572,NAL,English
18289,18289,2615,526,Lover Revealed : Number 4 in series,J. R. Ward,Fantasy:Fantasy Books:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,02 Mar 2011,544,Little Brown Book Group,English,Lover Reborn,J.R. Ward,Fantasy;Paranormal;Romance;Paranormal Romance;Paranormal;Vampires;Romance;Fantasy,March 27th 2012,572,NAL,English
18318,18318,2004,528,The Duke of Shadows,Meredith Duran,Romance:Romance Books:Historical Romance:Historical Romance,05 Apr 2008,371,SIMON & SCHUSTER,English,The Duke of Shadows,Meredith Duran,Romance;Historical;Romance;Historical Romance;Historical;Historical Fiction;Cultural;India;Historical;Victorian,March 25th 2008,371,Pocket Star,English
18558,18558,254,535,Immortals After Dark #1: A Hunger Like No Other,Kresley Cole,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,02 Jun 2008,368,SIMON & SCHUSTER,English,Dark Desires After Dusk,Kresley Cole,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Fantasy;Paranormal;Demons,May 20th 2008,368,Simon & Schuster,English
