Title,Authors,Genres,Year,Pages,Publisher,Language,ISBN,ISBN13,URL
Bellagrand,Paullina Simons,Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,27 Mar 2014,576,HarperCollins Publishers,English,0007493711,0007493711,https://www.bookdepository.com/Bellagrand-Paullina-Simons/9780007493715?ref=grid-view,
Cousin Kate,Georgette Heyer,Classic Books & Novels:Historical Romance:Historical Romance:Historical Fiction,22 Nov 2005,336,Cornerstone,English,0099490951,0099490951,https://www.bookdepository.com/Cousin-Kate-Georgette-Heyer/9780099490951?ref=grid-view,
The Secret,Julie Garwood,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance,07 Sep 1999,384,SIMON & SCHUSTER,English,0671744216,0671744216,https://www.bookdepository.com/Secret-Julie-Garwood/9780671744212?ref=grid-view,
Beautiful Ruins,Jess Walter,Contemporary Fiction:Historical Romance:Historical Romance:Sagas,02 Apr 2013,337,HARPER PERENNIAL,English,0061928178,0061928178,https://www.bookdepository.com/Beautiful-Ruins-Jess-Walter/9780061928178?ref=grid-view,
Lord of Scoundrels,Loretta Chase,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,08 Jul 2011,384,HarperCollins Publishers Inc,English,0380776162,0380776162,https://www.bookdepository.com/Lord-Scoundrels-Loretta-Chase/9780380776160?ref=grid-view,
Far from the Madding Crowd,Thomas Hardy:Rosemarie Morgan:Shannon Russell,Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance:Sci Fi Books for Kids,01 May 2003,480,Penguin Books Ltd,English,0141439653,0141439653,https://www.bookdepository.com/Far-from-Madding-Crowd-Thomas-Hardy/9780141439655?ref=grid-view,
The Promise In A Kiss,Stephanie Laurens,Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,29 Aug 2011,384,HarperCollins Publishers Inc,English,0061031755,0061031755,https://www.bookdepository.com/Promise-Kiss-Stephanie-Laurens/9780061031755?ref=grid-view,
The Bridgertons: Happily Ever After,Julia Quinn,Historical Romance:Historical Romance,01 Apr 2013,384,Little Brown Book Group,English,0349401071,0349401071,https://www.bookdepository.com/Bridgertons-Happily-Ever-After-Julia-Quinn/9780349401072?ref=grid-view,
The Bride,Julie Garwood,Historical Romance:Historical Romance,04 Aug 1993,358,SIMON & SCHUSTER,English,0671737791,0671737791,https://www.bookdepository.com/Bride-Julie-Garwood/9780671737795?ref=grid-view,
Birth of the Kingdom,Jan Guillou,Historical Adventure:Historical Romance:Historical Romance:Fiction In Translation,17 Dec 2010,512,HarperCollins Publishers,English,0007285876,0007285876,https://www.bookdepository.com/Birth-Kingdom-Jan-Guillou/9780007285877?ref=grid-view,
It Happened One Season,Stephanie Laurens:Jacquie D'Alessandro:Candice Hern:Mary Balogh,Romance:Romance Books:Historical Romance:Historical Romance:Short Story Books,02 Sep 2011,432,HarperCollins Publishers Inc,English,0061993379,0061993379,https://www.bookdepository.com/It-Happened-One-Season-Stephanie-Laurens/9780061993374?ref=grid-view,
The Lady's Command,Stephanie Laurens,Contemporary Fiction:Historical Crime:Historical Crime:Adventure Books:Historical Romance:Historical Romance:Historical Fiction,29 Dec 2015,347,Mira Books,English,0778318613,0778318613,https://www.bookdepository.com/Ladys-Command-Stephanie-Laurens/9780778318613?ref=grid-view,
One Good Earl Deserves a Lover,Sarah MacLean,Historical Romance:Historical Romance,29 Jan 2013,384,HarperCollins Publishers Inc,English,0062068539,0062068539,https://www.bookdepository.com/One-Good-Earl-Deserves-Lover-Sarah-MacLean/9780062068538?ref=grid-view,
Firelight : Number 1 in series,Kristen Callihan,Fantasy:Fantasy Books:Historical Romance:Historical Romance,01 Mar 2012,384,Little Brown & Company,English,1455508594,1455508594,https://www.bookdepository.com/Firelight-Kristen-Callihan/9781455508594?ref=grid-view,
Only Enchanting,Mary Balogh,Romance:Romance Books:Historical Romance:Historical Romance,25 Nov 2014,387,Berkley Books,English,0451469666,0451469666,https://www.bookdepository.com/Only-Enchanting-Mary-Balogh/9780451469663?ref=grid-view,
Romancing Mr Bridgerton : Number 4 in series,Julia Quinn,Historical Romance:Historical Romance:Historical Fiction,25 Aug 2006,384,Little Brown Book Group,English,0749936606,0749936606,https://www.bookdepository.com/Romancing-Mr-Bridgerton-Julia-Quinn/9780749936600?ref=grid-view,
Someone to Love,Mary Balogh,Historical Romance:Historical Romance,08 Nov 2016,392,Berkley Books,English,0451477790,0451477790,https://www.bookdepository.com/Someone-Love-Mary-Balogh/9780451477798?ref=grid-view,
The Lady Most Willing... : A Novel in Three Parts,Julia Quinn:Eloisa James:Connie Brockway,Contemporary Fiction:Historical Romance:Historical Romance:Short Story Books,01 Jan 2013,384,HarperCollins Publishers Inc,English,0062107380,0062107380,https://www.bookdepository.com/Lady-Most-Willing-Julia-Quinn/9780062107381?ref=grid-view,
To Sir Philip with Love,Julia Quinn,Romance:Romance Books:Historical Romance:Historical Romance,25 Aug 2009,372,HarperCollins Publishers Inc,English,0380820854,0380820854,https://www.bookdepository.com/Sir-Philip-with-Love-Julia-Quinn/9780380820856?ref=grid-view,
All About Love,Stephanie Laurens,Romance:Romance Books:Historical Romance:Historical Romance,15 Sep 2011,408,HarperCollins Publishers Inc,English,0380812010,0380812010,https://www.bookdepository.com/All-About-Love-Stephanie-Laurens/9780380812011?ref=grid-view,
Lady Osbaldestone's Christmas Goose,Stephanie Laurens,Contemporary Fiction:Crime:Crime Fiction:Romance:Romance Books:Historical Romance:Historical Romance,25 Jul 2017,None,Savdek Management Pty Ltd,English,1925559076,1925559076,https://www.bookdepository.com/Lady-Osbaldestones-Christmas-Goose-Stephanie-Laurens/9781925559071?ref=grid-view,
A Secret Love,Stephanie Laurens,Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,27 Sep 2000,374,HarperCollins Publishers Inc,English,0380805707,0380805707,https://www.bookdepository.com/Secret-Love-Stephanie-Laurens/9780380805709?ref=grid-view,
Only a Kiss,Mary Balogh,Historical Romance:Historical Romance,16 Oct 2015,394,Berkley Books,English,0451469682,0451469682,https://www.bookdepository.com/Only-Kiss-Mary-Balogh/9780451469687?ref=grid-view,
The Untamed Bride,Stephanie Laurens,Romance:Romance Books:Historical Romance:Historical Romance,05 Jul 2011,356,HarperCollins Publishers Inc,English,0061795143,0061795143,https://www.bookdepository.com/Untamed-Bride-Stephanie-Laurens/9780061795145?ref=grid-view,
On A Wild Night,Stephanie Laurens,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance,29 Aug 2011,416,HarperCollins Publishers Inc,English,0380812037,0380812037,https://www.bookdepository.com/On-Wild-Night-Stephanie-Laurens/9780380812035?ref=grid-view,
The Poldark Colouring Book,Poldark:Gwen Burns,Art Techniques & Principles:Contemporary Fiction:Historical Romance:Historical Romance:Historical Fiction:Crafts & Hobbies:Stationery,22 Sep 2016,112,Pan MacMillan,English,075226625X,075226625X,https://www.bookdepository.com/Poldark-Colouring-Book-Poldark/9780752266251?ref=grid-view,
Suddenly You,Lisa Kleypas,Romance:Romance Books:Historical Romance:Historical Romance,11 Jul 2011,384,HarperCollins Publishers Inc,English,0380802325,0380802325,https://www.bookdepository.com/Suddenly-You-Lisa-Kleypas/9780380802326?ref=grid-view,
Love Come to Me,Lisa Kleypas,Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,30 Aug 2011,390,Penguin Putnam Inc,English,0451236335,0451236335,https://www.bookdepository.com/Love-Come-Me-Lisa-Kleypas/9780451236333?ref=grid-view,
At Last Comes Love,Mary Balogh,Romance:Romance Books:Historical Romance:Historical Romance,01 May 2009,386,Random House USA Inc,English,0440244242,0440244242,https://www.bookdepository.com/At-Last-Comes-Love-Mary-Balogh/9780440244240?ref=grid-view,
The The Road to Jerusalem: The Road to Jerusalem Crusades Trilogy Bk. 1,Jan Guillou:Steven T. Murray,Historical Adventure:Historical Romance:Historical Romance:Fiction In Translation,17 Dec 2010,400,HarperCollins Publishers,English,000728585X,000728585X,https://www.bookdepository.com/Road-Jerusalem-Road-Jerusalem-Crusades-Trilogy-Bk-1-Jan-Guillou/9780007285853?ref=grid-view,
The Brothers Karamazov,Fyodor Dostoyevsky,Literature: History & Criticism:Literary Studies: General:Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance,14 Jun 2002,824,Farrar Straus & Giroux Inc,English,0374528373,0374528373,https://www.bookdepository.com/Brothers-Karamazov-Fyodor-Dostoyevsky/9780374528379?ref=grid-view,
Dilly's Sacrifice : The gripping saga of a mother's love from a much-loved Sunday Times bestselling author,Rosie Goodwin,Contemporary Fiction:Historical Romance:Historical Romance:Sagas,24 Sep 2015,464,Little Brown Book Group,English,1472117824,1472117824,https://www.bookdepository.com/Dillys-Sacrifice-Rosie-Goodwin/9781472117823?ref=grid-view,
The Viscount Who Loved Me : Number 2 in series,Julia Quinn,Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,08 Jun 2006,384,Little Brown Book Group,English,0749936584,0749936584,https://www.bookdepository.com/Viscount-Who-Loved-Me-Julia-Quinn/9780749936587?ref=grid-view,
Silk Is for Seduction,Loretta Chase,Historical Romance:Historical Romance,28 Jun 2011,371,HarperCollins Publishers Inc,English,0061632686,0061632686,https://www.bookdepository.com/Silk-Is-for-Seduction-Loretta-Chase/9780061632686?ref=grid-view,
Dark Angel/Lord Carew's Bride,Mary Balogh,Fantasy:Fantasy Books:Romance:Romance Books:Historical Romance:Historical Romance,23 Feb 2010,593,Random House USA Inc,English,0440245443,0440245443,https://www.bookdepository.com/Dark-Angel-Lord-Carews-Bride-Mary-Balogh/9780440245445?ref=grid-view,
Dragonbane,Sherrilyn Kenyon,Horror:Horror:Fantasy:Fantasy Books:Romance:Romance Books:Historical Romance:Historical Romance,05 Apr 2016,319,St. Martin's Press,English,1250029961,1250029961,https://www.bookdepository.com/Dragonbane-Sherrilyn-Kenyon/9781250029966?ref=grid-view,
Last Night's Scandal,Loretta Chase,Historical Romance:Historical Romance,08 Jul 2011,372,HarperCollins Publishers Inc,English,0061632678,0061632678,https://www.bookdepository.com/Last-Nights-Scandal-Loretta-Chase/9780061632679?ref=grid-view,
To Tame A Highland Warrior,Karen Marie Moning,Historical Romance:Historical Romance,01 Mar 2000,366,Bantam Doubleday Dell Publishing Group Inc,English,0440234816,0440234816,https://www.bookdepository.com/Tame-Highland-Warrior-Karen-Marie-Moning/9780440234814?ref=grid-view,
Emma (Penguin Classics Deluxe Edition),Jane Austen,Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance,20 Mar 2012,400,Penguin Books Ltd,English,0143106465,0143106465,https://www.bookdepository.com/Emma-Penguin-Classics-Deluxe-Edition-Jane-Austen/9780143106463?ref=grid-view,
Loving Rose : The Redemption of Malcolm Sinclair,Stephanie Laurens,Historical Crime:Historical Crime:Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,24 Nov 2014,374,HarperCollins Publishers Inc,English,0062068679,0062068679,https://www.bookdepository.com/Loving-Rose-Stephanie-Laurens/9780062068675?ref=grid-view,
To Desire A Devil : Number 4 in series,Elizabeth Hoyt,Historical Romance:Historical Romance:Historical Fiction,03 Dec 2009,384,Little Brown & Company,English,0446406945,0446406945,https://www.bookdepository.com/Desire-Devil-Elizabeth-Hoyt/9780446406949?ref=grid-view,
On A Wicked Dawn,Stephanie Laurens,Romance:Romance Books:Historical Romance:Historical Romance,29 Aug 2011,421,HarperCollins Publishers Inc,English,0060002050,0060002050,https://www.bookdepository.com/On-Wicked-Dawn-Stephanie-Laurens/9780060002053?ref=grid-view,
Any Duchess Will Do,Tessa Dare,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance,03 Jun 2013,384,HarperCollins Publishers Inc,English,0062240129,0062240129,https://www.bookdepository.com/Any-Duchess-Will-Do-Tessa-Dare/9780062240125?ref=grid-view,
Lady Sophia's Lover,Lisa Kleypas,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance,08 Jul 2011,384,HarperCollins Publishers Inc,English,0380811065,0380811065,https://www.bookdepository.com/Lady-Sophias-Lover-Lisa-Kleypas/9780380811069?ref=grid-view,
The Elusive Bride,Stephanie Laurens,Romance:Romance Books:Historical Romance:Historical Romance,11 Jul 2011,528,HarperCollins Publishers (Australia) Pty Ltd,English,0061795151,0061795151,https://www.bookdepository.com/Elusive-Bride-Stephanie-Laurens/9780061795152?ref=grid-view,
The Lady Risks All,Stephanie Laurens,Historical Romance:Historical Romance:Historical Fiction,13 Sep 2012,496,Little Brown Book Group,English,0749958731,0749958731,https://www.bookdepository.com/Lady-Risks-All-Stephanie-Laurens/9780749958732?ref=grid-view,
The Winter Bride,Anne Gracie,Romance:Romance Books:Historical Romance:Historical Romance,01 Apr 2014,324,Penguin Putnam Inc,English,0425259269,0425259269,https://www.bookdepository.com/Winter-Bride-Anne-Gracie/9780425259269?ref=grid-view,
Where Dreams Begin,Lisa Kleypas,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,26 Nov 2013,373,HarperCollins Publishers Inc,English,0380802317,0380802317,https://www.bookdepository.com/Where-Dreams-Begin-Lisa-Kleypas/9780380802319?ref=grid-view,
Girl At The Lion d'Or,Sebastian Faulks,Contemporary Fiction:Historical Romance:Historical Romance:Historical Fiction,03 Jan 1998,256,Vintage Publishing,English,0099774909,0099774909,https://www.bookdepository.com/Girl-At-Lion-dOr-Sebastian-Faulks/9780099774907?ref=grid-view,
The English Girl,Margaret Leroy,Historical Romance:Historical Romance:Historical Fiction,28 Aug 2014,432,Little Brown Book Group,English,0751551775,0751551775,https://www.bookdepository.com/English-Girl-Margaret-Leroy/9780751551778?ref=grid-view,
Cold-Hearted Rake,Lisa Kleypas,Romance:Romance Books:Historical Romance:Historical Romance,27 Oct 2015,416,AVON BOOKS,English,0062371819,0062371819,https://www.bookdepository.com/Cold-Hearted-Rake-Lisa-Kleypas/9780062371812?ref=grid-view,
The Templar Knight,Jan Guillou,Historical Adventure:Historical Romance:Historical Romance:Fiction In Translation,06 Aug 2009,480,HarperCollins Publishers,English,0007285868,0007285868,https://www.bookdepository.com/Templar-Knight-Jan-Guillou/9780007285860?ref=grid-view,
Mr Darcy's Diary,Amanda Grange,Contemporary Fiction:Historical Romance:Historical Romance:Historical Fiction,19 Jul 2007,320,Sourcebooks Inc,English,1402208766,1402208766,https://www.bookdepository.com/Mr-Darcys-Diary-Amanda-Grange/9781402208768?ref=grid-view,
Marry in Haste : Marriage of Convenience,Anne Gracie,Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,02 May 2017,304,Penguin Putnam Inc,English,042528381X,042528381X,https://www.bookdepository.com/Marry-Haste-Anne-Gracie/9780425283813?ref=grid-view,
The King's Curse,Philippa Gregory,Contemporary Fiction:Historical Romance:Historical Romance:Historical Fiction,12 Mar 2015,624,Simon & Schuster Ltd,English,085720758X,085720758X,https://www.bookdepository.com/Kings-Curse-Philippa-Gregory/9780857207586?ref=grid-view,
Crystal Gardens,Amanda Quick,Historical Crime:Historical Crime:Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,26 Mar 2013,387,Penguin Putnam Inc,English,0515152994,0515152994,https://www.bookdepository.com/Crystal-Gardens-Amanda-Quick/9780515152999?ref=grid-view,
A Counterfeit Betrothal/The Notorious Rake,Mary Balogh,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance,30 Apr 2013,546,Random House USA Inc,English,0440245478,0440245478,https://www.bookdepository.com/Counterfeit-Betrothal-Notorious-Rake-Mary-Balogh/9780440245476?ref=grid-view,
The Wedding,Julie Garwood,Historical Romance:Historical Romance,07 Apr 1997,352,SIMON & SCHUSTER,English,0671871005,0671871005,https://www.bookdepository.com/Wedding-Julie-Garwood/9780671871000?ref=grid-view,
A Lady Never Surrenders,Sabrina Jeffries,Romance:Romance Books:Historical Romance:Historical Romance,01 Mar 2012,384,SIMON & SCHUSTER,English,1451642458,1451642458,https://www.bookdepository.com/Lady-Never-Surrenders-Sabrina-Jeffries/9781451642452?ref=grid-view,
The Mystery Woman,Amanda Quick,Historical Crime:Historical Crime:Romance:Romance Books:Historical Romance:Historical Romance,01 Apr 2014,387,Jove Books,English,0515154210,0515154210,https://www.bookdepository.com/Mystery-Woman-Amanda-Quick/9780515154214?ref=grid-view,
The Many Sins Of Lord Cameron,Jennifer Ashley,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance,03 Nov 2011,312,Penguin Putnam Inc,English,0425240495,0425240495,https://www.bookdepository.com/Many-Sins-Lord-Cameron-Jennifer-Ashley/9780425240496?ref=grid-view,
The Proposal : Number 1 in series,Mary Balogh,Historical Romance:Historical Romance:Historical Fiction,01 May 2012,320,Little Brown Book Group,English,0749956038,0749956038,https://www.bookdepository.com/Proposal-Mary-Balogh/9780749956035?ref=grid-view,
The Spanish Bride,Georgette Heyer,Historical Romance:Historical Romance:Historical Fiction,26 Jul 2005,432,Cornerstone,English,009947445X,009947445X,https://www.bookdepository.com/Spanish-Bride-Georgette-Heyer/9780099474456?ref=grid-view,
To Beguile A Beast : Number 3 in series,Elizabeth Hoyt,Historical Romance:Historical Romance,01 May 2009,352,Little Brown & Company,English,0446406937,0446406937,https://www.bookdepository.com/Beguile-Beast-Elizabeth-Hoyt/9780446406932?ref=grid-view,
Gypsy,Lesley Pearse,Contemporary Fiction:Historical Romance:Historical Romance:Historical Fiction,14 May 2009,544,Penguin Books Ltd,English,0141030496,0141030496,https://www.bookdepository.com/Gypsy-Lesley-Pearse/9780141030494?ref=grid-view,
The Daredevil Snared,Stephanie Laurens,Contemporary Fiction:Adventure Books:Historical Romance:Historical Romance:Historical Fiction,28 Jun 2016,457,Mira Books,English,0778318966,0778318966,https://www.bookdepository.com/Daredevil-Snared-Stephanie-Laurens/9780778318965?ref=grid-view,
A Column of Fire,Ken Follett,Espionage:Espionage:Historical Adventure:Historical Romance:Historical Romance:Historical Fiction,14 Jun 2018,912,Pan MacMillan,English,1447278771,1447278771,https://www.bookdepository.com/Column-Fire-Ken-Follett/9781447278771?ref=grid-view,
Ten Things I Love About You,Julia Quinn,Historical Romance:Historical Romance:Historical Fiction,08 Jun 2010,384,Little Brown Book Group,English,0749941944,0749941944,https://www.bookdepository.com/Ten-Things-I-Love-About-You-Julia-Quinn/9780749941949?ref=grid-view,
When Passion Rules,Johanna Lindsey,Romance:Romance Books:Historical Romance:Historical Romance,17 Apr 2012,448,SIMON & SCHUSTER,English,1451633262,1451633262,https://www.bookdepository.com/When-Passion-Rules-Johanna-Lindsey/9781451633269?ref=grid-view,
The Jane Austen Collection,Jane Austen:Joanna Lumley:Belinda Lang:Anna Massey,Anthologies (non-poetry):Literary Studies: General:Literary Studies: Fiction Novelists & Prose Writers:Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance,06 Aug 2009,1,Canongate Books Ltd,English,1906147450,1906147450,https://www.bookdepository.com/Jane-Austen-Collection-Jane-Austen/9781906147457?ref=grid-view,
Lord of the Privateers,Stephanie Laurens,Contemporary Fiction:Adventure Books:Historical Romance:Historical Romance:Historical Fiction,27 Dec 2016,503,Mira Books,English,0778319733,0778319733,https://www.bookdepository.com/Lord-Privateers-Stephanie-Laurens/9780778319733?ref=grid-view,
Someone to Watch over ME,Lisa Kleypas,Romance:Romance Books:Historical Romance:Historical Romance,06 Jul 2011,374,HarperCollins Publishers Inc,English,0380802309,0380802309,https://www.bookdepository.com/Someone-Watch-over-ME-Lisa-Kleypas/9780380802302?ref=grid-view,
The Mackade Brothers: Devin & Shane : The Heart of Devin Mackade\The Fall of Shane Mackade,Nora Roberts,Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,31 Dec 2013,457,Silhouette Books,English,0373281765,0373281765,https://www.bookdepository.com/Mackade-Brothers-Devin-Shane-Nora-Roberts/9780373281763?ref=grid-view,
Into the Wilderness,Sara Donati,Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,01 Feb 2009,912,Random House USA Inc,English,0385342578,0385342578,https://www.bookdepository.com/Into-Wilderness-Sara-Donati/9780385342575?ref=grid-view,
Someone to Hold,Mary Balogh,Romance:Romance Books:Historical Romance:Historical Romance,07 Feb 2017,390,Berkley Books,English,0451477804,0451477804,https://www.bookdepository.com/Someone-Hold-Mary-Balogh/9780451477804?ref=grid-view,
The Tea Gardens,Fiona McIntosh,Historical Romance:Historical Romance,30 Oct 2017,416,Penguin Books Australia,None,014379728X,014379728X,https://www.bookdepository.com/Tea-Gardens-Fiona-McIntosh/9780143797289?ref=grid-view,
Make Me Love You,Johanna Lindsey,Historical Romance:Historical Romance,24 Jan 2017,406,POCKET BOOKS,English,1501105477,1501105477,https://www.bookdepository.com/Make-Me-Love-You-Johanna-Lindsey/9781501105470?ref=grid-view,
Only a Promise,Mary Balogh,Contemporary Fiction:Historical Romance:Historical Romance:Historical Fiction,09 Jun 2015,394,Berkley Books,English,0451469674,0451469674,https://www.bookdepository.com/Only-Promise-Mary-Balogh/9780451469670?ref=grid-view,
The Age of Innocence,Edith Wharton:Cynthia Griffin Wolff:Laura Quinn,Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance,03 Sep 2013,368,Penguin Books Ltd,English,014018970X,014018970X,https://www.bookdepository.com/Age-Innocence-Edith-Wharton/9780140189704?ref=grid-view,
Daughters of Castle Deverill,Santa Montefiore,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance:Sagas,06 Apr 2017,560,Simon & Schuster Ltd,English,147113590X,147113590X,https://www.bookdepository.com/Daughters-Castle-Deverill-Santa-Montefiore/9781471135903?ref=grid-view,
Beautiful Tempest : A Malory Novel,Johanna Lindsey,Historical Romance:Historical Romance,01 Jul 2018,448,POCKET BOOKS,English,1501162217,1501162217,https://www.bookdepository.com/Beautiful-Tempest-Johanna-Lindsey/9781501162213?ref=grid-view,
Shaman : Number 2 in series,Noah Gordon,Historical Romance:Historical Romance:Historical Fiction,01 Jul 2001,656,Little Brown Book Group,English,0751500828,0751500828,https://www.bookdepository.com/Shaman-Noah-Gordon/9780751500820?ref=grid-view,
Gentle Warrior,Julie Garwood,Contemporary Fiction:Science Fiction:Science Fiction:Fantasy:Fantasy Books:Romance:Romance Books:Historical Romance:Historical Romance,16 Jun 2008,320,SIMON & SCHUSTER,English,0671737805,0671737805,https://www.bookdepository.com/Gentle-Warrior-Julie-Garwood/9780671737801?ref=grid-view,
Falling for the Highlander,Lynsay Sands,Romance:Romance Books:Historical Romance:Historical Romance,08 Feb 2017,384,HarperCollins Publishers Inc,English,0062273612,0062273612,https://www.bookdepository.com/Falling-for-Highlander-Lynsay-Sands/9780062273611?ref=grid-view,
The Bridgertons : Happily Ever After,Julia Quinn,Romance:Romance Books:Historical Romance:Historical Romance,17 May 2013,374,HarperCollins Publishers Inc,English,0061233005,0061233005,https://www.bookdepository.com/Bridgertons-Julia-Quinn/9780061233005?ref=grid-view,
Scottish Brides,Christina Dodd:Stephanie Laurens:Julia Quinn:Karen Ranney,Romance:Romance Books:Historical Romance:Historical Romance:Short Story Books,08 Jul 2011,368,HarperCollins Publishers Inc,English,0380804514,0380804514,https://www.bookdepository.com/Scottish-Brides-Christina-Dodd/9780380804511?ref=grid-view,
Notorious Pleasures,Elizabeth Hoyt,Contemporary Fiction:Historical Romance:Historical Romance,01 Feb 2011,382,Time Warner Trade Publishing,English,0446558958,0446558958,https://www.bookdepository.com/Notorious-Pleasures-Elizabeth-Hoyt/9780446558952?ref=grid-view,
Then Comes Seduction,Mary Balogh,Romance:Romance Books:Historical Romance:Historical Romance,01 Apr 2009,419,Random House USA Inc,English,0440244234,0440244234,https://www.bookdepository.com/Then-Comes-Seduction-Mary-Balogh/9780440244233?ref=grid-view,
When He Was Wicked,Julia Quinn,Historical Romance:Historical Romance,08 Jul 2011,368,HarperCollins Publishers Inc,English,0060531231,0060531231,https://www.bookdepository.com/When-He-Was-Wicked-Julia-Quinn/9780060531232?ref=grid-view,
Ali And Nino : A novel. Transl. by Jenia Graman. Introd. by Paul Theroux,Kurban Said,Historical Romance:Historical Romance,05 Oct 2000,240,Vintage Publishing,English,0099283220,0099283220,https://www.bookdepository.com/Ali-Nino-Kurban-Said/9780099283225?ref=grid-view,
A Week to Be Wicked,Tessa Dare,Romance:Romance Books:Historical Romance:Historical Romance,05 Apr 2012,384,HarperCollins Publishers Inc,English,0062049879,0062049879,https://www.bookdepository.com/Week-Be-Wicked-Tessa-Dare/9780062049872?ref=grid-view,
Captain Jack's Woman,Stephanie Laurens,Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,31 Mar 2015,400,HarperCollins Publishers Inc,English,0380794551,0380794551,https://www.bookdepository.com/Captain-Jacks-Woman-Stephanie-Laurens/9780380794553?ref=grid-view,
Lady Isabella's Scandalous Marriage,Jennifer Ashley,Historical Romance:Historical Romance,20 Mar 2013,325,Penguin Putnam Inc,English,0425235459,0425235459,https://www.bookdepository.com/Lady-Isabellas-Scandalous-Marriage-Jennifer-Ashley/9780425235454?ref=grid-view,
Quicksilver : Book Two of the Looking Glass Trilogy,Amanda Quick,Fantasy:Fantasy Books:Romance:Romance Books:Historical Romance:Historical Romance,27 Mar 2012,399,Penguin Putnam Inc,English,0515150568,0515150568,https://www.bookdepository.com/Quicksilver-Amanda-Quick/9780515150568?ref=grid-view,
A Lady Of His Own,Stephanie Laurens,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,11 Jul 2011,448,HarperCollins Publishers Inc,English,006059330X,006059330X,https://www.bookdepository.com/Lady-His-Own-Stephanie-Laurens/9780060593308?ref=grid-view,
A Loving Scoundrel : A Malory Novel,Johanna Lindsey,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance,31 May 2005,444,SIMON & SCHUSTER,English,0743456300,0743456300,https://www.bookdepository.com/Loving-Scoundrel-Johanna-Lindsey/9780743456302?ref=grid-view,
Pride & Prejudice & Zombies,Steve Hockensmith,Contemporary Fiction:Horror:Horror:Historical Romance:Historical Romance:Parodies & Spoofs,01 Apr 2011,320,Quirk Books,English,1594745021,1594745021,https://www.bookdepository.com/Pride-Prejudice-Zombies-Steve-Hockensmith/9781594745027?ref=grid-view,
The Duke's Perfect Wife,Jennifer Ashley,Romance:Romance Books:Historical Romance:Historical Romance,07 Jun 2012,310,Penguin Putnam Inc,English,0425247104,0425247104,https://www.bookdepository.com/Dukes-Perfect-Wife-Jennifer-Ashley/9780425247105?ref=grid-view,
The Other Miss Bridgerton,Julia Quinn,Romance:Romance Books:Historical Romance:Historical Romance,23 Jul 2018,384,HarperCollins Publishers Inc,English,0062388207,0062388207,https://www.bookdepository.com/Other-Miss-Bridgerton-Julia-Quinn/9780062388209?ref=grid-view,
Noli Me Tangere : (Touch Me Not),Jose Rizal,Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance:Historical Fiction,07 Dec 2006,464,Penguin Books Ltd,English,0143039695,0143039695,https://www.bookdepository.com/Noli-Me-Tangere-Jose-Rizal/9780143039693?ref=grid-view,
The Rose Garden,Susanna Kearsley,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance,30 Jan 2012,480,ALLISON & BUSBY,English,0749010479,0749010479,https://www.bookdepository.com/Rose-Garden-Susanna-Kearsley/9780749010478?ref=grid-view,
Lair of the Lion,Christine Feehan,Fantasy:Fantasy Books:Historical Romance:Historical Romance,20 Feb 2012,384,HarperCollins Publishers Inc,English,0062021354,0062021354,https://www.bookdepository.com/Lair-Lion-Christine-Feehan/9780062021359?ref=grid-view,
