Title,Authors,Genres,Year,Pages,Publisher,Language,ISBN,ISBN13,URL
Poison Princess,Kresley Cole,Young Adult;Fantasy;Fantasy;Paranormal;Romance;Science Fiction;Dystopia,October 2nd 2012,369,Simon & Schuster,English,1442436646,9781442436640,https://www.goodreads.com/book/show/13450339-poison-princess,
Irresistible,Susan Mallery,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Fiction;Adult;Audiobook;War;Military;Family;Category Romance;Harlequin,July 1st 2006,376,HQN,English,0373771177,9780373771172,https://www.goodreads.com/book/show/73068.Irresistible,
White Knight Dom Academy,Lucian Bane,Erotica;Bdsm;Romance;Adult Fiction;Erotica;Humor;Romance;Erotic Romance,,None,,None,,None,https://www.goodreads.com/book/show/23494875-white-knight-dom-academy,
After Ever Happy,Anna Todd,Romance;New Adult;Contemporary,February 24th 2015,512,Gallery Books,English,1501106406,9781501106408,https://www.goodreads.com/book/show/23214408-after-ever-happy,
Cowgirl Up and Ride,Lorelei James,Adult Fiction;Erotica;Romance;Westerns;Contemporary;Romance;Contemporary Romance;Romance;Erotic Romance,March 2008,298,Samhain Publishing; Ltd.,English,159998895X,9781599988955,https://www.goodreads.com/book/show/3654372-cowgirl-up-and-ride,
The Redhead Revealed,Alice Clayton,Romance;Romance;Contemporary Romance;Humor;Funny;Womens Fiction;Chick Lit;Contemporary;Adult,September 28th 2010,228,,English,1936305380,9781936305384,https://www.goodreads.com/book/show/9399336-the-redhead-revealed,
Tears of the Broken,Angela M. Hudson,Paranormal;Vampires;Fantasy;Paranormal;Young Adult;Romance;Fantasy,November 27th 2011,466,Angela Hudson,,,9780987192516,https://www.goodreads.com/book/show/13122090-tears-of-the-broken,
Passion Unleashed,Larissa Ione,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Paranormal;Demons;Paranormal;Vampires;Fantasy,March 31st 2009,454,Forever,English,0446401056,9780446401050,https://www.goodreads.com/book/show/4701550-passion-unleashed,
After,Anna Todd,Romance;New Adult;Contemporary;Young Adult,October 21st 2014,582,Gallery Books,English,1476792488,9781476792484,https://www.goodreads.com/book/show/22557520-after,
Surviving Raine,Shay Savage,New Adult;Adult Fiction;Erotica;Adventure;Survival;Sociology;Abuse,May 19th 2013,351,Shay Savage,,B00CWG930S,None,https://www.goodreads.com/book/show/17447588-surviving-raine,
Blindsided,Sayer Adams,Romance;Romance;Contemporary Romance;Music;Contemporary;New Adult,March 16th 2011,179,,None,English,None,https://www.goodreads.com/book/show/12024009-blindsided,
The Little House Collection,Laura Ingalls Wilder;Garth Williams,Classics;Childrens;Historical;Historical Fiction;Fiction;Young Adult,October 7th 2003,2700,Avon Books,English,0060529962,9780060529963,https://www.goodreads.com/book/show/114345.The_Little_House_Collection,
The Liar,Nora Roberts,Mystery;Contemporary;Suspense;Romance;Contemporary Romance;Romance,April 14th 2015,501,Berkley,English,0399170863,9780399170867,https://www.goodreads.com/book/show/23281906-the-liar,
Rocked Under,Cora Hawkes,New Adult;Romance;Music;Contemporary;Academic;College,December 31st 2012,279,Cora Hawkes,,English,None,https://www.goodreads.com/book/show/16051780-rocked-under,
Knight & Play,Kitty French,Romance;Adult Fiction;Erotica;Erotica;Bdsm;Romance;Contemporary Romance;Contemporary,November 23rd 2012,210,Amazon Digital Services,,B00ACMPB0A,None,https://www.goodreads.com/book/show/16174197-knight-play,
Defiant,Pamela Clare,Romance;Historical Romance;Historical;Romance;Historical;Historical Fiction,July 3rd 2012,364,Berkley Sensation,English,0425246116,9780425246115,https://www.goodreads.com/book/show/11725779-defiant,
Windows,Billy London,Romance;Interracial Romance;Romance;Adult Fiction;Erotica,February 17th 2011,406,Beautiful Trouble Publishing,,English,None,https://www.goodreads.com/book/show/12368523-windows,
Innocent in Death,J.D. Robb,Mystery;Mystery;Crime;Romance;Fiction,February 20th 2007,385,G.P. Putnam's Sons,English,0399154019,9780399154010,https://www.goodreads.com/book/show/74033.Innocent_in_Death,
When Fate Dictates,Elizabeth   Marshall,Fantasy;Science Fiction;Time Travel;Romance;Historical Romance;Romance;Historical;Historical Fiction;Fantasy;Paranormal,May 21st 2012,141,Createspace,,,9781477519929,https://www.goodreads.com/book/show/11490059-when-fate-dictates,
The Chocolate Touch,Laura Florand,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Adult;Fiction,July 30th 2013,298,Kensington,,,9780758286321,https://www.goodreads.com/book/show/16033669-the-chocolate-touch,
The Thirteenth Tale,Diane Setterfield,Historical;Historical Fiction;Gothic;Writing;Books About Books;Adult,September 12th 2006,406,Atria Books,English,0743298020,9780743298025,https://www.goodreads.com/book/show/40440.The_Thirteenth_Tale,
Death Angel,Linda Howard,Romance;Romance;Romantic Suspense;Suspense;Contemporary;Romance;Contemporary Romance;Mystery,July 1st 2008,341,Ballantine,English,0345486544,9780345486547,https://www.goodreads.com/book/show/2067180.Death_Angel,
Insurgent,Veronica Roth,Young Adult;Science Fiction;Dystopia;Fiction;Fantasy,May 1st 2012,525,HarperCollins Children's Books,English,0007442912,9780007442911,https://www.goodreads.com/book/show/11735983-insurgent,
Knight's Mistress,C.C. Gibbs,Romance;Adult Fiction;Erotica;Erotica;Bdsm;Romance;Contemporary Romance;Contemporary,December 6th 2012,364,Quercus,English,1782062912,9781782062912,https://www.goodreads.com/book/show/17054826-knight-s-mistress,
The Bridgertons: Happily Ever After,Julia Quinn,Romance;Historical Romance;Romance;Historical;Historical;Regency;Historical;Historical Fiction,April 2nd 2013,374,HarperCollins,English,0061233005,9780061233005,https://www.goodreads.com/book/show/11867860-the-bridgertons,
Rock Bottom,R.K. Lilley,Romance;Romance;Contemporary Romance;Adult Fiction;Erotica;Contemporary;New Adult;Erotica;Bdsm,November 21st 2013,273,Amazon Digital Services,,English,None,https://www.goodreads.com/book/show/18943009-rock-bottom,
Waiting Fate,W.B. Kinnette,Romance;Sociology;Abuse;Contemporary,May 23rd 2013,192,Astraea Press,None,English,None,https://www.goodreads.com/book/show/17971526-waiting-fate,
The Language of Flowers,Vanessa Diffenbaugh,Fiction;Parenting;Adoption,August 23rd 2011,323,Ballantine Books,English,034552554X,9780345525543,https://www.goodreads.com/book/show/10032672-the-language-of-flowers,
Embrace,Jessica Shirvington,Paranormal;Angels;Young Adult;Fantasy;Paranormal;Fantasy;Romance,October 1st 2010,382,Hachette Australia,,9780734411846,None,https://www.goodreads.com/book/show/8635145-embrace,
The Boots My Mother Gave Me,Brooklyn James,Romance;Contemporary;Sociology;Abuse;Womens Fiction;Chick Lit,August 9th 2010,280,Arena Books,,English,None,https://www.goodreads.com/book/show/15776233-the-boots-my-mother-gave-me,
I Only Have Eyes for You,Bella Andre,Romance;Romance;Contemporary Romance;Contemporary,February 22nd 2012,384,Oak Press LLC,,B007BW34BM,None,https://www.goodreads.com/book/show/13144229-i-only-have-eyes-for-you,
The Chocolate Kiss,Laura Florand,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Fiction;Adult,December 24th 2012,342,Kensington,,,9780758269416,https://www.goodreads.com/book/show/15806994-the-chocolate-kiss,
Before We Were Strangers,Renee Carlino,Romance;Contemporary Romance;Romance;Academic;College;Fiction,August 18th 2015,320,Atria Books,English,1501105779,9781501105777,https://www.goodreads.com/book/show/23309634-before-we-were-strangers,
Queen of Babble,Meg Cabot,Womens Fiction;Chick Lit;Romance;Fiction;Contemporary;Adult;Humor;Romance;Contemporary Romance;Young Adult;Humor;Funny;Adult Fiction,May 23rd 2006,309,William Morrow,English,0060851988,9780060851989,https://www.goodreads.com/book/show/23219.Queen_of_Babble,
Feral Sins,Suzanne Wright,Fantasy;Paranormal;Romance;Romance;Paranormal Romance;Paranormal;Shapeshifters;Shapeshifters;Werewolves;Fantasy;Adult Fiction;Erotica,March 3rd 2012,429,Suzanne Wright,,B007GR28XC,None,https://www.goodreads.com/book/show/13522957-feral-sins,
The Raging Quiet,Sherryl Jordan,Historical;Historical Fiction;Young Adult;Historical;Romance;Fiction;Fantasy,April 27th 2004,362,Simon Pulse,English,0689870043,9780689870040,https://www.goodreads.com/book/show/118754.The_Raging_Quiet,
Taunting Krell,Laurann Dohner,Science Fiction;Romance;Adult Fiction;Erotica;Romance;Science Fiction Romance;Fantasy;Paranormal,October 14th 2011,152,Ellora's Cave,,,9781419937149,https://www.goodreads.com/book/show/12618154-taunting-krell,
The Last Hellion,Loretta Chase,Romance;Historical;Romance;Historical Romance;Historical;Regency;Historical;Historical Fiction,April 1st 1998,379,Avon Books,English,0380776170,9780380776177,https://www.goodreads.com/book/show/958521.The_Last_Hellion,
Daring to Dream,Nora Roberts,Romance;Romance;Contemporary Romance;Fiction;Contemporary,August 29th 2006,376,Jove,English,0515142905,9780515142907,https://www.goodreads.com/book/show/230003.Daring_to_Dream,
Up to Me,Michelle Leighton,Romance;New Adult;Romance;Contemporary Romance;Contemporary;Adult Fiction;Erotica,January 4th 2013,289,M. Leighton Books,,B00AWZNGHM,None,https://www.goodreads.com/book/show/16093188-up-to-me,
The Hating Game,Sally  Thorne,Romance;Contemporary;Womens Fiction;Chick Lit;Romance;Contemporary Romance;Adult;Fiction,August 9th 2016,387,William Morrow,;,English,None,https://www.goodreads.com/book/show/25883848-the-hating-game,
Nauti Intentions,Lora Leigh,Romance;Adult Fiction;Erotica;Romance;Erotic Romance;Romance;Contemporary Romance;Romance;Romantic Suspense;Contemporary,April 7th 2009,339,Berkley Sensation,English,0425226050,9780425226056,https://www.goodreads.com/book/show/3671417-nauti-intentions,
Carter Reed,Tijan,Romance;New Adult;Contemporary;Romance;Contemporary Romance,September 28th 2013,285,,,B00FIOBPC0,None,https://www.goodreads.com/book/show/18221931-carter-reed,
Hunted,Rebecca Zanetti,Fantasy;Paranormal;Romance;Paranormal Romance;Paranormal;Vampires;Romance,May 1st 2012,333,Brava,English,0758259271,9780758259271,https://www.goodreads.com/book/show/12472085-hunted,
Smokeless Fire,Samantha Young,Fantasy;Young Adult;Fantasy;Paranormal;Romance;Fantasy;Magic,October 21st 2011,358,CreateSpace,English,1466297689,9781466297685,https://www.goodreads.com/book/show/12407853-smokeless-fire,
The Proposition,Katie Ashley,Romance;Romance;Contemporary Romance;Contemporary;Adult;Womens Fiction;Chick Lit,December 9th 2012,316,CreateSpace,English,1480114480,9781480114487,https://www.goodreads.com/book/show/16062211-the-proposition,
The Unknown Ajax,Georgette Heyer,Romance;Historical;Historical Fiction;Historical;Regency;Romance;Historical Romance;Historical;Fiction,January 6th 2005,352,Arrow,English,0099474360,9780099474364,https://www.goodreads.com/book/show/311095.The_Unknown_Ajax,
The Siren,Tiffany Reisz,Erotica;Bdsm;Romance;Adult Fiction;Erotica;Contemporary;Dark;Adult,July 24th 2012,432,Mira,English,0373605692,9780373605699,https://www.goodreads.com/book/show/10970532-the-siren,
Touched,Elisa S. Amore,Fantasy;Paranormal;Angels;Young Adult;Fantasy;Paranormal;Romance;Did Not Finish;Romance;Paranormal Romance;Fantasy;Urban Fantasy;Fantasy;Supernatural;Abandoned,November 16th 2012,455,Youcanprint,Italian,8867517910,9788867517916,https://www.goodreads.com/book/show/16143432-touched,
Flowers in the Attic,V.C. Andrews,Fiction;Horror;Mystery;Young Adult,,389,Pocket Books,English,0743496310,9780743496315,https://www.goodreads.com/book/show/43448.Flowers_in_the_Attic,
Faking It,Jennifer Crusie,Romance;Womens Fiction;Chick Lit;Romance;Contemporary Romance;Fiction;Contemporary;Humor;Humor;Funny;Adult;Mystery;Humor;Comedy,July 11th 2004,448,St. Martin's Paperbacks,English,0312932782,9780312932787,https://www.goodreads.com/book/show/33729.Faking_It,
Comanche Heart,Catherine Anderson,Romance;Historical Romance;Romance;Historical;Westerns;Romance;Western Romance,January 4th 1992,384,HarperTorch,,,9780061040689,https://www.goodreads.com/book/show/696514.Comanche_Heart,
It's All Relative,S.C. Stephens,Romance;New Adult;Romance;Contemporary Romance;Contemporary,,None,,,English,None,https://www.goodreads.com/book/show/10150892-it-s-all-relative,
Six Years,Harlan Coben,Mystery;Thriller;Fiction;Suspense;Thriller;Mystery Thriller;Mystery;Crime,March 19th 2013,351,Dutton,English,0525953485,9780525953487,https://www.goodreads.com/book/show/15811568-six-years,
An Echo in the Bone,Diana Gabaldon,Historical;Historical Fiction;Romance;Fiction;Fantasy;Science Fiction;Time Travel;Historical,January 21st 2010,1149,Orion,English,0752898477,9780752898476,https://www.goodreads.com/book/show/2832909-an-echo-in-the-bone,
The Law of Moses,Amy Harmon,Romance;New Adult;Fantasy;Paranormal;Contemporary;Young Adult;Romance;Contemporary Romance,November 27th 2014,359,Amy Harmon,,B00PKSZ78M,None,https://www.goodreads.com/book/show/23252517-the-law-of-moses,
Propositioning Mr. Raine,Laurann Dohner,Romance;Contemporary;Adult Fiction;Erotica;Romance;Contemporary Romance;Romance;Erotic Romance,July 30th 2010,118,Ellora's Cave Publishing,English,1419928716,9781419928710,https://www.goodreads.com/book/show/8333614-propositioning-mr-raine,
American Love Songs,Ashlyn Kane,Romance;M M Romance;Contemporary;Romance;Music,December 31st 2010,260,Dreamspinner Press,English,1615816968,9781615816965,https://www.goodreads.com/book/show/9912820-american-love-songs,
Double Time,Olivia Cunning,Romance;Adult Fiction;Erotica;Contemporary;Music;Erotica;Menage,November 6th 2012,416,Sourcebooks Casablanca,English,1402271514,9781402271519,https://www.goodreads.com/book/show/12710106-double-time,
Making You Mine,Elizabeth Reyes,Romance;New Adult;Contemporary;Romance;Contemporary Romance,December 2011,372,,None,,None,https://www.goodreads.com/book/show/12902757-making-you-mine,
Fate and Fury,Quinn Loftis,Fantasy;Paranormal;Shapeshifters;Werewolves;Romance;Young Adult;Fantasy,March 15th 2013,292,,,English,None,https://www.goodreads.com/book/show/16102879-fate-and-fury,
A Place to Call Home,Deborah Smith,Romance;Romance;Contemporary Romance;Contemporary;Fiction;Womens Fiction;Chick Lit;Adult,May 4th 1998,415,Bantam,English,0553578138,9780553578133,https://www.goodreads.com/book/show/584486.A_Place_to_Call_Home,
Entrée,Ivan Rusilko;Everly Drummond,Romance;Romance;Contemporary Romance;Adult Fiction;Erotica;Romance;Erotic Romance,December 18th 2012,208,Omnific Publishing,,,9781623420062,https://www.goodreads.com/book/show/16155424-entr-e,
Garden Spells,Sarah Addison Allen,Fiction;Fantasy;Magical Realism;Romance;Womens Fiction;Chick Lit;Fantasy;Magic,August 28th 2007,304,Bantam,English,0553805487,9780553805482,https://www.goodreads.com/book/show/1158967.Garden_Spells,
Grey,E.L. James,Romance;Adult Fiction;Erotica;Erotica;Bdsm;Fiction,June 18th 2015,576,Vintage,English,1101946342,9781101946343,https://www.goodreads.com/book/show/25644601-grey,
Taking Chase,Lauren Dane,Romance;Romance;Contemporary Romance;Contemporary;Adult Fiction;Erotica,February 20th 2007,253,Samhain Publishing,English,1599983834,9781599983837,https://www.goodreads.com/book/show/399894.Taking_Chase,
Master of Crows,Grace Draven,Fantasy;Romance;Romance;Fantasy Romance;Fantasy;Magic;Romance;Paranormal Romance;Fantasy;Paranormal,July 13th 2009,276,Amber Quill Press,English,1602728631,9781602728639,https://www.goodreads.com/book/show/6811150-master-of-crows,
The Will,Kristen Ashley,Romance;Romance;Contemporary Romance;Contemporary;Adult,April 8th 2014,453,,,B00HYIF9FW,None,https://www.goodreads.com/book/show/20603820-the-will,
Never Never,Colleen Hoover;Tarryn Fisher,Romance;Young Adult;Contemporary;New Adult;Mystery,January 7th 2015,159,Hoover Ink,,B00RZVNDSS,None,https://www.goodreads.com/book/show/24378015-never-never,
Sold to the Highest Bidder,Donna Alward,Romance;Romance;Contemporary Romance;Contemporary,February 1st 2011,216,Samhain Publishing,,,9781609280185,https://www.goodreads.com/book/show/9921680-sold-to-the-highest-bidder,
The Hours,Michael Cunningham,Fiction;Historical;Historical Fiction;Literary Fiction;Novels;Literature;Contemporary;Adult Fiction;Literature;American;Historical;Lgbt,January 15th 2000,226,Picador USA,English,0312243022,9780312243029,https://www.goodreads.com/book/show/461121.The_Hours,
Archangel's Blade,Nalini Singh,Fantasy;Paranormal;Romance;Paranormal Romance;Fantasy;Urban Fantasy;Romance;Paranormal;Angels;Fantasy;Paranormal;Vampires,September 6th 2011,310,Berkley Sensation,English,0425243915,9780425243916,https://www.goodreads.com/book/show/8074967-archangel-s-blade,
Gentle Rogue,Johanna Lindsey,Romance;Historical Romance;Romance;Historical;Historical;Regency;Adventure;Pirates,July 12th 2011,452,Avon,,B0058DTHO4,None,https://www.goodreads.com/book/show/11945208-gentle-rogue,
Raine on Me,Laurann Dohner,Romance;Contemporary;Adult Fiction;Erotica;Romance;Contemporary Romance;Romance;Erotic Romance,February 1st 2011,214,Ellora's Cave Publishing,,9781419932571,None,https://www.goodreads.com/book/show/10316519-raine-on-me,
Second Helpings,Megan McCafferty,Young Adult;Womens Fiction;Chick Lit;Fiction;Romance;Contemporary,April 22nd 2003,357,Broadway Books,English,0609807919,9780609807910,https://www.goodreads.com/book/show/199687.Second_Helpings,
The Edge of Desire,Stephanie Laurens,Romance;Romance;Historical Romance;Historical;Historical;Regency;Historical;Historical Fiction;Historical Romance;Regency Romance,August 26th 2008,433,Avon,English,0061246360,9780061246364,https://www.goodreads.com/book/show/2837182-the-edge-of-desire,
The Fountainhead,Ayn Rand;Leonard Peikoff,Fiction;Classics;Philosophy;Literature,September 1st 1996,704,Signet Book,English,0451191153,9780451191151,https://www.goodreads.com/book/show/2122.The_Fountainhead,
The Hellion Bride,Catherine Coulter,Romance;Romance;Historical Romance;Historical;Fiction;Historical;Historical Fiction,November 1st 1992,378,Berkley Books,English,0515109746,9780515109740,https://www.goodreads.com/book/show/438273.The_Hellion_Bride,
Fantastical,Kristen Ashley,Fantasy;Romance;Fantasy;Paranormal;Romance;Fantasy Romance,November 1st 2011,438,,,English,None,https://www.goodreads.com/book/show/13005310-fantastical,
The Highlander's Touch,Karen Marie Moning,Romance;Science Fiction;Time Travel;Romance;Paranormal Romance;Romance;Historical Romance;Fantasy;Paranormal;Fantasy;Historical,May 29th 2007,356,Dell Publishing Company,English,044024417X,9780440244172,https://www.goodreads.com/book/show/815150.The_Highlander_s_Touch,
Left Drowning,Jessica Park,New Adult;Romance;Contemporary;Academic;College;Romance;Contemporary Romance;Sociology;Abuse,July 16th 2013,399,Skyscape,English,1477817158,9781477817155,https://www.goodreads.com/book/show/17325147-left-drowning,
Unravel Me,Tahereh Mafi,Science Fiction;Dystopia;Young Adult;Fantasy;Paranormal;Science Fiction,February 5th 2013,461,HarperCollins,English,0062085530,9780062085535,https://www.goodreads.com/book/show/13104080-unravel-me,
Blue Moon,Laurell K. Hamilton,Fantasy;Urban Fantasy;Paranormal;Vampires;Fantasy;Paranormal;Fantasy;Romance;Romance;Paranormal Romance,November 1st 1998,418,Ace Books,English,0441005748,9780441005741,https://www.goodreads.com/book/show/509305.Blue_Moon,
Taken at Dusk,C.C. Hunter,Fantasy;Paranormal;Paranormal;Vampires;Young Adult;Shapeshifters;Werewolves;Romance,April 10th 2012,380,St. Martin's Press,English,0312624697,9780312624699,https://www.goodreads.com/book/show/12866426-taken-at-dusk,
Independence,Shelly Crane,Fantasy;Paranormal;Young Adult;Romance;Fantasy;Romance;Paranormal Romance,December 18th 2012,233,Kiss Me Publications; LLC,,English,None,https://www.goodreads.com/book/show/13519844-independence,
Crave,J.R. Ward,Fantasy;Paranormal;Romance;Paranormal Romance;Romance;Paranormal;Angels;Fantasy;Fantasy;Urban Fantasy,October 5th 2010,454,Signet,English,0451229444,9780451229441,https://www.goodreads.com/book/show/7828882-crave,
The Secret Keeper,Kate Morton,Historical;Historical Fiction;Fiction;Mystery;Historical;Romance,October 9th 2012,484,Atria,English,1439152802,9781439152805,https://www.goodreads.com/book/show/13508607-the-secret-keeper,
My Life Next Door,Huntley Fitzpatrick,Young Adult;Romance;Contemporary;Womens Fiction;Chick Lit;Realistic Fiction,June 14th 2012,394,Dial Books For Young Readers,English,0803736991,9780803736993,https://www.goodreads.com/book/show/12294652-my-life-next-door,
Kill and Tell,Linda Howard,Romance;Romantic Suspense;Romance;Mystery;Suspense;Contemporary;Romance;Contemporary Romance,October 1st 2003,305,Pocket Star,English,0743475488,9780743475488,https://www.goodreads.com/book/show/420733.Kill_and_Tell,
Stargazer,Claudia Gray,Paranormal;Vampires;Young Adult;Fantasy;Paranormal;Fantasy;Romance,March 24th 2009,329,HarperTeen,English,0061284408,9780061284403,https://www.goodreads.com/book/show/3054684-stargazer,
It Ain't Me; Babe,Tillie Cole,Romance;Dark;Sociology;Abuse;New Adult,April 26th 2014,466,Tillie Cole LTD,,English,None,https://www.goodreads.com/book/show/22020052-it-ain-t-me-babe,
Brightest Kind of Darkness,P.T. Michelle;Patrice Michelle,Young Adult;Fantasy;Paranormal;Fantasy;Romance;Romance;Paranormal Romance,June 27th 2011,357,Patrice Michelle,,B0058J4KSQ,None,https://www.goodreads.com/book/show/11948797-brightest-kind-of-darkness,
Wildest Dreams,Kristen Ashley,Fantasy;Romance;Fantasy;Paranormal;Romance;Paranormal Romance;Fantasy;Magic,August 15th 2011,536,,,B005HH1HVM,None,https://www.goodreads.com/book/show/12390650-wildest-dreams,
My Lord and Spymaster,Joanna Bourne,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Spy Thriller;Espionage;Mystery;Historical;Regency,July 1st 2008,324,Berkley Sensation,English,0425222462,9780425222461,https://www.goodreads.com/book/show/2281319.My_Lord_and_Spymaster,
Marked,P.C. Cast;Kristin Cast,Young Adult;Paranormal;Vampires;Fantasy;Fantasy;Paranormal,May 1st 2007,306,St. Martin's Press,English,0312360266,9780312360269,https://www.goodreads.com/book/show/30183.Marked,
Because We Belong,Beth Kery,Romance;Adult Fiction;Erotica;Erotica;Bdsm;Contemporary;Romance;Erotic Romance,November 5th 2013,418,Berkley,English,0425266125,9780425266120,https://www.goodreads.com/book/show/17165589-because-we-belong,
More Than This,Jay McLean,New Adult;Romance;Contemporary;Young Adult;Academic;College;Romance;Contemporary Romance,July 10th 2013,311,,,English,None,https://www.goodreads.com/book/show/18285151-more-than-this,
Animal Attraction,Jill Shalvis,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit,October 4th 2011,293,Berkley,English,0425244008,9780425244005,https://www.goodreads.com/book/show/10600127-animal-attraction,
My Favorite Mistake,Chelsea M. Cameron,New Adult;Romance;Academic;College;Contemporary;Romance;Contemporary Romance;Young Adult,August 27th 2013,400,Harlequin HQN,English,0373778295,9780373778294,https://www.goodreads.com/book/show/17348308-my-favorite-mistake,
Lethal Rider,Larissa Ione,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Paranormal;Demons;Paranormal;Angels;Fantasy;Paranormal;Vampires,May 22nd 2012,464,Piatkus Books,English,074995552X,9780749955526,https://www.goodreads.com/book/show/11512712-lethal-rider,
The Pursuit,Johanna Lindsey,Romance;Historical Romance;Romance;Historical;Fiction,August 29th 2006,400,Avon,English,0061131156,9780061131158,https://www.goodreads.com/book/show/419282.The_Pursuit,
The Sherbrooke Bride,Catherine Coulter,Romance;Romance;Historical Romance;Historical;Historical;Historical Fiction;Historical;Regency,April 1st 1992,409,Jove,English,0515107662,9780515107661,https://www.goodreads.com/book/show/697011.The_Sherbrooke_Bride,
Butterfly Tattoo,Deidre Knight,Romance;Romance;Contemporary Romance;Contemporary;Romance;M M Romance,February 2nd 2010,296,Samhain Publishing,English,1605045446,9781605045443,https://www.goodreads.com/book/show/6572846-butterfly-tattoo,
Killjoy,Julie Garwood,Romance;Romance;Romantic Suspense;Mystery;Suspense;Contemporary;Romance;Contemporary Romance;Fiction,September 27th 2005,448,Ballantine Books,English,0345486447,9780345486448,https://www.goodreads.com/book/show/107790.Killjoy,
Message in a Bottle,Nicholas Sparks,Romance;Fiction;Womens Fiction;Chick Lit;Contemporary,December 1st 1999,342,Warner Books,English,0446676071,9780446676076,https://www.goodreads.com/book/show/3478.Message_in_a_Bottle,
Nightshade,Andrea Cremer,Young Adult;Fantasy;Paranormal;Fantasy;Shapeshifters;Werewolves;Romance,October 19th 2010,452,Philomel,English,039925482X,9780399254826,https://www.goodreads.com/book/show/7402393-nightshade,
This Duchess of Mine,Eloisa James,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency,May 26th 2009,370,Avon,English,0061626821,9780061626821,https://www.goodreads.com/book/show/5742909-this-duchess-of-mine,
The Count of Monte Cristo,Alexandre Dumas;Robin Buss,Classics;Fiction;Historical;Historical Fiction;Adventure;Literature;Cultural;France;Historical,May 27th 2003,1276,Penguin Classics,English,0140449264,9780140449266,https://www.goodreads.com/book/show/7126.The_Count_of_Monte_Cristo,
The Darkest Fire,Gena Showalter,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Paranormal;Demons;Fantasy,,66,HQN Books,English,1426817541,9781426817540,https://www.goodreads.com/book/show/3375897-the-darkest-fire,
Mudbound,Hillary Jordan,Historical;Historical Fiction;Fiction;Historical,March 4th 2008,328,Algonquin Books,English,156512569X,9781565125698,https://www.goodreads.com/book/show/2138727.Mudbound,
Gus,Kim Holden,Romance;New Adult;Contemporary;Music,May 19th 2015,389,,None,,None,https://www.goodreads.com/book/show/23389993-gus,
The Deepest Cut,J.A. Templeton,Fantasy;Paranormal;Young Adult;Paranormal;Ghosts;Romance;Fantasy,October 1st 2011,304,Julia Templeton,,9780983736707,None,https://www.goodreads.com/book/show/12901365-the-deepest-cut,
The Fellowship of the Ring,J.R.R. Tolkien,Classics;Fiction;Adventure;Science Fiction Fantasy,September 5th 2003,398,Houghton Mifflin Harcourt,English,0618346252,9780618346257,https://www.goodreads.com/book/show/34.The_Fellowship_of_the_Ring,
Sustained,Emma Chase,Romance;Contemporary;Romance;Contemporary Romance;Humor;Funny;Adult;New Adult,August 25th 2015,267,Gallery Books,English,1501102079,9781501102073,https://www.goodreads.com/book/show/22926485-sustained,
Born of Silence,Sherrilyn Kenyon,Romance;Romance;Paranormal Romance;Fantasy;Paranormal;Science Fiction;Fantasy,May 1st 2012,614,Grand Central Publishing,,,None,https://www.goodreads.com/book/show/9645248-born-of-silence,
Wait for Me,Elisabeth Naughton,Romance;Romance;Romantic Suspense;Romance;Contemporary Romance;Contemporary;Suspense;Mystery,December 22nd 2011,266,Elisabeth Naughton,English,1468139339,9781468139334,https://www.goodreads.com/book/show/13282015-wait-for-me,
Obsession,Jennifer L. Armentrout,Fantasy;Paranormal;Romance;Science Fiction;Aliens;New Adult;Fantasy;Romance;Paranormal Romance;Adult,May 31st 2013,249,Entangled: Embrace,;,English,None,https://www.goodreads.com/book/show/14060046-obsession,
Playing the Game,J.L. Paul,Sports and Games;Sports;Romance;Contemporary Romance;Sports Romance;New Adult;Music;Romance;Contemporary Romance,December 6th 2011,None,,None,English,None,https://www.goodreads.com/book/show/13160693-playing-the-game,
Simply Love,Mary Balogh,Romance;Romance;Historical Romance;Historical;Historical;Regency;Historical;Historical Fiction,February 27th 2007,418,Dell,English,0440241979,9780440241973,https://www.goodreads.com/book/show/71644.Simply_Love,
Dark Witch,Nora Roberts,Romance;Fantasy;Fantasy;Paranormal;Fiction;Romance;Paranormal Romance;Paranormal;Witches;Fantasy;Magic,October 29th 2013,342,Berkley,English,0425259854,9780425259856,https://www.goodreads.com/book/show/16158558-dark-witch,
It's Not Summer Without You,Jenny Han;Alice Delarbre,Young Adult;Romance;Contemporary,April 27th 2010,288,Simon  Schuster Books for Young Readers,English,1416995552,9781416995555,https://www.goodreads.com/book/show/6584188-it-s-not-summer-without-you,
Pleasures of a Notorious Gentleman,Lorraine Heath,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical Romance;Regency Romance,November 30th 2010,372,Avon,English,0061922951,9780061922954,https://www.goodreads.com/book/show/7713857-pleasures-of-a-notorious-gentleman,
