Title,Authors,Genres,Year,Pages,Publisher,Language,ISBN,ISBN13,URL
Love Unscripted,Tina Reber,Romance;Romance;Contemporary Romance;Contemporary;New Adult;Did Not Finish;Adult,March 6th 2010,668,CreateSpace Independent Publishing Platform,English,1451533969,9781451533965,https://www.goodreads.com/book/show/8204005-love-unscripted,
Persuasion,Jane Austen;James Kinsley;Deidre Shauna Lynch,Classics;Fiction;Romance;Historical;Historical Fiction;Literature,March 18th 2004,249,Oxford University Press,English,0192802631,9780192802637,https://www.goodreads.com/book/show/2156.Persuasion,
The Fault in Our Stars,John Green,Young Adult;Fiction;Romance;Contemporary,January 10th 2012,313,Dutton Books,English,0525478817,9780525478812,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars,
Obsidian,Jennifer L. Armentrout,Young Adult;Fantasy;Paranormal;Romance;Fantasy;Science Fiction;Aliens;Science Fiction;Romance;Paranormal Romance,May 8th 2012,335,Entangled Teen,English,1620610078,9781620610077,https://www.goodreads.com/book/show/12578077-obsidian,
Sense and Sensibility,Jane Austen;Tony Tanner;Ros Ballaster,Classics;Fiction;Romance,April 29th 2003,409,Penguin Books,English,0141439661,9780141439662,https://www.goodreads.com/book/show/14935.Sense_and_Sensibility,
Shiver,Maggie Stiefvater,Young Adult;Romance;Fiction;Fantasy;Supernatural;Fantasy;Urban Fantasy;Fantasy;Young Adult;Teen;Did Not Finish,August 1st 2009,390,Scholastic Press,English,0545123267,9780545123266,https://www.goodreads.com/book/show/6068551-shiver,
On the Island,Tracey Garvis-Graves,Romance;Romance;Contemporary Romance;Womens Fiction;Chick Lit;New Adult;Adult;Contemporary,August 16th 2012,346,Penguin,English,1405910216,9781405910217,https://www.goodreads.com/book/show/15505346-on-the-island,
Hopeless,Colleen Hoover,Romance;New Adult;Young Adult;Contemporary,December 19th 2012,410,,English,1301949825,9781301949823,https://www.goodreads.com/book/show/15717943-hopeless,
Memoirs of a Geisha,Arthur Golden,Fiction;Historical;Historical Fiction;Romance;Historical;Cultural;Japan;Classics,November 15th 2005,434,Random House Large Print Publishing,English,0739326228,9780739326220,https://www.goodreads.com/book/show/930.Memoirs_of_a_Geisha,
On Dublin Street,Samantha Young,New Adult;Contemporary;Romance;Contemporary Romance;Romance;Adult;Adult Fiction;Erotica,August 31st 2012,372,,,B0094J01VG,None,https://www.goodreads.com/book/show/15760001-on-dublin-street,
Halfway to the Grave,Jeaniene Frost,Fantasy;Paranormal;Romance;Paranormal;Vampires;Adult;Fantasy;Fantasy;Urban Fantasy,October 30th 2007,358,Avon,English,0061245089,9780061245084,https://www.goodreads.com/book/show/1421990.Halfway_to_the_Grave,
The Truth About Forever,Sarah Dessen,Young Adult;Romance;Contemporary;Womens Fiction;Chick Lit,May 11th 2004,374,Penguin Group Inc.,English,0142406252,9780142406250,https://www.goodreads.com/book/show/51737.The_Truth_About_Forever,
Reason to Breathe,Rebecca Donovan,Romance;Young Adult;Contemporary;New Adult;Sociology;Abuse,May 10th 2011,377,,,B00505AZRS,None,https://www.goodreads.com/book/show/11561469-reason-to-breathe,
The Bronze Horseman,Paullina Simons,Romance;Historical;Romance;Historical Romance;Fiction,April 2001,637,HarperCollins,English,0006513220,9780006513223,https://www.goodreads.com/book/show/83144.The_Bronze_Horseman,
Water for Elephants,Sara Gruen,Fiction;Historical;Historical Fiction;Romance;Book Club,May 1st 2007,335,Algonquin Books,English,1565125606,9781565125605,https://www.goodreads.com/book/show/43641.Water_for_Elephants,
Flat-Out Love,Jessica Park,Romance;Young Adult;New Adult;Contemporary;Womens Fiction;Chick Lit,April 11th 2011,389,Amazon Digital Services,,B004W9BYR8,None,https://www.goodreads.com/book/show/11096647-flat-out-love,
