_id,ltable_id,rtable_id,id_id_exm,id_id_anm,id_id_lev_dist,id_id_lev_sim,Title_Title_jac_qgm_3_qgm_3,Title_Title_cos_dlm_dc0_dlm_dc0,Title_Title_jac_dlm_dc0_dlm_dc0,Title_Title_mel,Title_Title_lev_dist,Title_Title_lev_sim,Title_Title_nmw,Title_Title_sw,Authors_Authors_jac_qgm_3_qgm_3,Authors_Authors_cos_dlm_dc0_dlm_dc0,Authors_Authors_jac_dlm_dc0_dlm_dc0,Authors_Authors_mel,Authors_Authors_lev_dist,Authors_Authors_lev_sim,Authors_Authors_nmw,Authors_Authors_sw,Publishing_Date_Publishing_Date_jac_qgm_3_qgm_3,Publishing_Date_Publishing_Date_cos_dlm_dc0_dlm_dc0,Publishing_Date_Publishing_Date_jac_dlm_dc0_dlm_dc0,Publishing_Date_Publishing_Date_mel,Publishing_Date_Publishing_Date_lev_dist,Publishing_Date_Publishing_Date_lev_sim,Publishing_Date_Publishing_Date_nmw,Publishing_Date_Publishing_Date_sw,Pages_Pages_lev_dist,Pages_Pages_lev_sim,Pages_Pages_jar,Pages_Pages_jwn,Pages_Pages_exm,Pages_Pages_jac_qgm_3_qgm_3,Publisher_Publisher_jac_qgm_3_qgm_3,Publisher_Publisher_cos_dlm_dc0_dlm_dc0,Publisher_Publisher_jac_dlm_dc0_dlm_dc0,Publisher_Publisher_mel,Publisher_Publisher_lev_dist,Publisher_Publisher_lev_sim,Publisher_Publisher_nmw,Publisher_Publisher_sw,Language_Language_jac_qgm_3_qgm_3,Language_Language_cos_dlm_dc0_dlm_dc0,Language_Language_jac_dlm_dc0_dlm_dc0,Language_Language_mel,Language_Language_lev_dist,Language_Language_lev_sim,Language_Language_nmw,Language_Language_sw,predicted,proba
11127,3357,310,0,0.09234435507893957,3.0,0.25,0.3469387755102041,0.4999999999999999,0.25,0.8566666841506958,43.0,0.2833333333333333,-26.0,17.0,1.0,1.0,1.0,1.0,0.0,1.0,16.0,16.0,0.06451612903225806,0.0,0.0,0.5151515007019043,13,0.2777777777777778,-2.0,4.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,-3.0,1.0,0.2,0.0,0.0,0.7142857313156128,4.0,0.4285714285714286,3.0,3.0,1,0.7565682630326024
11189,576,311,0,0.5399305555555556,3.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,17.0,17.0,1.0,1.0,1.0,1.0,0.0,1.0,15.0,15.0,0.24,0.33333333333333337,0.2,0.778030276298523,10,0.375,1.0,6.0,2.0,0.33333333333333337,0.5555555820465088,0.5555555820465088,0,0.1111111111111111,0.0,0.0,0.0,0.0,16.0,0.0,-16.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,-7.0,0.0,1,0.9921673388111785
11371,262,314,0,0.8343949044585988,3.0,0.0,0.4857142857142857,0.6546536707079772,0.42857142857142855,0.90625,15.0,0.53125,2.0,17.0,1.0,1.0,1.0,1.0,0.0,1.0,15.0,15.0,0.043478260869565216,0.0,0.0,0.603367030620575,7,0.36363636363636365,1.0,4.0,0.0,1.0,1.0,1.0,1,1.0,0.40625,0.5773502691896258,0.3333333333333333,0.8928571343421936,15.0,0.4642857142857143,-2.0,13.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,1,0.9739546463214255
11377,80,315,0,0.25396825396825395,3.0,0.0,0.16363636363636364,0.420084025208403,0.17647058823529413,0.8333333134651184,90.0,0.16666666666666663,-72.0,18.0,1.0,1.0,1.0,1.0,0.0,1.0,15.0,15.0,0.07407407407407407,0.0,0.0,0.6038960814476013,9,0.3571428571428571,2.0,4.0,3.0,0.0,0.0,0.0,0,0.0,0.08333333333333333,0.2581988897471611,0.14285714285714285,0.5486710071563721,37.0,0.1777777777777778,-12.0,7.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,1,0.7619331696235383
11379,1467,315,0,0.21472392638036808,4.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,18.0,18.0,1.0,1.0,1.0,1.0,0.0,1.0,15.0,15.0,0.07407407407407407,0.0,0.0,0.6645021438598633,8,0.4285714285714286,3.0,5.0,3.0,0.0,0.0,0.0,0,0.0,0.07692307692307693,0.31622776601683794,0.16666666666666666,0.5157407522201538,39.0,0.1333333333333333,-23.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,1,0.9973971543080642
11390,6,316,0,0.01898734177215189,2.0,0.33333333333333337,0.26865671641791045,0.5000000000000001,0.25,0.8404494524002075,71.0,0.202247191011236,-53.0,18.0,0.6666666666666666,0.40824829046386296,0.25,0.9490908980369568,1.0,0.9090909090909091,9.0,9.0,0.07142857142857142,0.0,0.0,0.6533910632133484,10,0.33333333333333337,1.0,4.0,1.0,0.6666666666666667,0.7777777910232544,0.8222222328186035,0,0.25,0.0,0.0,0.0,0.4737762212753296,11.0,0.15384615384615385,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,1,0.8016598893694938
11395,35,316,0,0.11075949367088611,2.0,0.33333333333333337,1.0,1.0,1.0,1.0,0.0,1.0,18.0,18.0,0.6666666666666666,0.40824829046386296,0.25,0.9490908980369568,1.0,0.9090909090909091,9.0,9.0,0.25,0.33333333333333337,0.2,0.8202019929885864,9,0.4,2.0,5.0,1.0,0.6666666666666667,0.7777777910232544,0.8222222328186035,0,0.25,0.0,0.0,0.0,0.5342490673065186,17.0,0.15000000000000002,-4.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,1,0.9962211472965989
11424,2616,316,0,0.12079510703363916,2.0,0.5,0.2465753424657534,0.5000000000000001,0.25,0.8439024686813354,64.0,0.2195121951219512,-46.0,18.0,0.6666666666666666,0.40824829046386296,0.25,0.9490908980369568,1.0,0.9090909090909091,9.0,9.0,0.07142857142857142,0.0,0.0,0.46262624859809875,10,0.33333333333333337,1.0,4.0,1.0,0.6666666666666667,0.7777777910232544,0.8222222328186035,0,0.25,0.0,0.0,0.0,0.4737762212753296,11.0,0.15384615384615385,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,1,0.8173104346668458
11440,3457,316,0,0.09140873589817766,3.0,0.25,1.0,1.0,1.0,1.0,0.0,1.0,18.0,18.0,0.4375,0.40824829046386296,0.25,0.8691666722297668,2.0,0.8,7.0,7.0,0.2,0.33333333333333337,0.2,0.5373737215995789,9,0.4,2.0,5.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.5342490673065186,17.0,0.15000000000000002,-4.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,1,0.9911748452476347
11444,3694,316,0,0.08554412560909586,3.0,0.25,1.0,1.0,1.0,1.0,0.0,1.0,18.0,18.0,0.4375,0.40824829046386296,0.25,0.8691666722297668,2.0,0.8,7.0,7.0,0.25,0.33333333333333337,0.2,0.8202019929885864,9,0.4,2.0,5.0,2.0,0.33333333333333337,0.5555555820465088,0.6000000238418579,0,0.1111111111111111,0.2222222222222222,0.4999999999999999,0.3333333333333333,0.6404914259910583,8.0,0.5,5.0,7.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,1,0.9885752296212568
