id,Title,Authors,Genres,Publishing Date,Pages,Publisher,Language,,,,,,,,,,
794,The Mistress Manual : The Good Girl's Guide to Female Dominance,Lorelei,Erotic Fiction:Sex & Sexuality Sex Manuals:Dating Relationships Living Together & Marriage,01 Nov 2001,172,Greenery Press,English,,,,,,,,,,
795,The Mistress,Tiffany Reisz,Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,02 Aug 2013,400,HarperCollins Publishers,English,,,,,,,,,,
796,Naked : The Blackstone Affair Book 1,Raine Miller,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,23 May 2013,192,Atria Books,English,,,,,,,,,,
797,Story of O,Pauline Reage,Erotic Fiction,16 Jun 1998,224,Blue Moon Books Inc,English,,,,,,,,,,
798,Venus in Furs,Leopold von Sacher-Masoch:Joachim Neugroschel:Larry Wolff,Contemporary Fiction:Classic Books & Novels:Erotic Fiction,05 Oct 2000,160,Penguin Books Ltd,English,,,,,,,,,,
799,Gabriel's Redemption,Sylvain Reynard,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,03 Dec 2013,484,Berkley Publishing Group,English,,,,,,,,,,
800,The Mistake : An Unputdownable Psychological Thriller with a Brilliant Twist,K L Slater,Contemporary Fiction:Thriller Books:Thrillers,04 Oct 2017,318,Bookouture,English,,,,,,,,,,
801,Jagged,Kristen Ashley,Contemporary Fiction:Thriller Books:Thrillers:Adventure Books:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,10 Oct 2014,400,Little Brown & Company,English,,,,,,,,,,
802,Confessions of a Mask,Yukio Mishima,Contemporary Fiction:Erotic Fiction:Fiction In Translation,31 Aug 2017,176,Penguin Books Ltd,English,,,,,,,,,,
803,Four Play,Shayla Black:Maya Banks,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,22 Jul 2011,346,Penguin Putnam Inc,English,,,,,,,,,,
804,Hidden Agendas,Lora Leigh,Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,13 Jul 2007,352,St Martin's Press,English,,,,,,,,,,
805,Heat of the Night,Sylvia Day,Fantasy:Fantasy Books:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,12 Feb 2008,256,HarperCollins Publishers Inc,English,,,,,,,,,,
806,Justine,Marquis de Sade,Classic Books & Novels:Erotic Fiction,01 Jan 2010,224,HarperCollins Publishers,English,,,,,,,,,,
807,Beauty's Punishment : Number 2 in series,A. N. Roquelaure:Anne Rice,Erotic Fiction,23 Aug 2012,256,Little Brown Book Group,English,,,,,,,,,,
808,Kaleidoscope,Kristen Ashley,Contemporary Fiction:Thriller Books:Thrillers:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Jan 2015,416,Little Brown & Company,English,,,,,,,,,,
809,On Mystic Lake : A Novel,Kristin Hannah,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,23 Nov 2010,404,Random House USA Inc,English,,,,,,,,,,
810,Large Print : Fifty Shades Of Grey,E L James,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,26 Jun 2012,736,Random House USA Inc,English,,,,,,,,,,
811,The Likeness : A Novel,Tana French,Contemporary Fiction:Crime:Crime Fiction:Thriller Books:Thrillers,26 May 2009,466,Penguin Putnam Inc,English,,,,,,,,,,
812,Player,Kresley Cole,Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,12 Apr 2016,334,Valkyrie Press,English,,,,,,,,,,
813,Story of O,Pauline Reage,Contemporary Fiction:Erotic Fiction:Romance:Romance Books,26 Mar 2013,196,Random House USA Inc,English,,,,,,,,,,
814,Fire Inside : A Chaos Novel,Kristen Ashley,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,28 Apr 2015,418,Little Brown & Company,English,,,,,,,,,,
815,Black Lace Quickies 4,Black Lace,Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Short Story Books,15 Oct 2007,128,Ebury Publishing,English,,,,,,,,,,
816,How to Build a Dungeon: Book of the Demon King: Vol. 3,Yakan Warau:Toshimasa Komiya,Fantasy:Fantasy Books:Erotic Fiction:Graphic Novels Anime & Manga:Graphic Novels Anime & Manga:Graphic Novels: Manga:Graphic Novels: Manga,21 Nov 2017,180,Seven Seas Entertainment LLC,English,,,,,,,,,,
817,Hard Limit : (The Hacker Series Book 4),Meredith Wild,Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,10 Sep 2015,304,Transworld Publishers Ltd,English,,,,,,,,,,
818,Beautiful Losers,Leonard Cohen,Contemporary Fiction:Erotic Fiction,01 Sep 2009,256,HarperCollins Publishers,English,,,,,,,,,,
819,You,Caroline Kepnes,Contemporary Fiction:Thriller Books:Thrillers:Erotic Fiction,16 Jun 2015,424,Atria Books,English,,,,,,,,,,
820,Little Birds,Anais Nin,Classic Books & Novels:Erotic Fiction:Short Story Books,02 Feb 2004,148,Cengage Learning Inc,English,,,,,,,,,,
821,The Storyteller,Jodi Picoult,Contemporary Fiction,29 Aug 2017,507,POCKET BOOKS,English,,,,,,,,,,
822,Dangerous Pleasure,Lora Leigh,Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,27 Jul 2011,320,Griffin Publishing,English,,,,,,,,,,
823,Revenant,Larissa Ione,Horror:Horror:Fantasy:Fantasy Books:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,16 Dec 2014,397,Little Brown & Company,English,,,,,,,,,,
824,Beauty's Release : Number 3 in series,A. N. Roquelaure:Anne Rice,Erotic Fiction,23 Aug 2012,272,Little Brown Book Group,English,,,,,,,,,,
825,The Prince,Tiffany Reisz,Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,07 Dec 2012,416,HarperCollins Publishers,English,,,,,,,,,,
826,Story Of O Part Two: Return to the Chateau,Pauline Reage,Erotic Fiction,28 Apr 1994,160,Transworld Publishers Ltd,English,,,,,,,,,,
827,Trilogia Cincuenta Sombras : Cincuenta Sombra de Grey; Cincuenta Sombras Mas Oscuras Cincuenta Sombras Liberadas 3- Volume Boxed Set,E L James,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,13 Nov 2012,1792,Vintage Books,Spanish,,,,,,,,,,
828,The Mammoth Book of Lesbian Erotica : New Edition,Barbara Cardy,Contemporary Fiction:Erotic Fiction,30 Aug 2007,512,Little Brown Book Group,English,,,,,,,,,,
829,Tropic of Capricorn,Henry Miller,Classic Books & Novels:Erotic Fiction,11 Jun 2015,320,Penguin Books Ltd,English,,,,,,,,,,
830,Black Lace Quickies 2,,Erotic Fiction,18 Sep 2007,128,Ebury Publishing,English,,,,,,,,,,
831,Rock Hard : Sinners on Tour,Olivia Cunning,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,15 Apr 2011,448,Sourcebooks Inc,English,,,,,,,,,,
832,I Take You,Nikki Gemmell,Erotic Fiction,01 Aug 2013,304,HarperCollins Publishers,English,,,,,,,,,,
833,Legacy of Desire,Marina Anderson,Erotic Fiction,01 May 2014,336,Little Brown Book Group,English,,,,,,,,,,
834,All In : The Blackstone Affair Book 2,Raine Miller,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,18 Jul 2013,256,Atria Books,English,,,,,,,,,,
835,Because You Are Mine Complete Novel,Beth Kery,Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,03 May 2013,416,Headline Publishing Group,English,,,,,,,,,,
836,Eyes Wide Open : The Blackstone Affair Book 3,Raine Miller,Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,29 Aug 2013,352,Atria Books,English,,,,,,,,,,
837,Delta of Venus : Erotica,Anaeis Nin,Anthologies (non-poetry):Classic Books & Novels:Erotic Fiction:Short Story Books,02 Feb 2004,304,HARVEST BOOKS,English,,,,,,,,,,
838,Cincuenta Sombras Mas Oscuras,E L James,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,17 Jul 2012,588,Random House USA Inc,Spanish,,,,,,,,,,
839,Rogue,Katy Evans,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,31 Jul 2014,320,SIMON & SCHUSTER,English,,,,,,,,,,
840,Release Me : The Stark Series #1,J Kenner,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Jan 2013,343,Random House USA Inc,English,,,,,,,,,,
841,Nothing More,Anna Todd,Contemporary Fiction:Erotic Fiction:Romance:Romance Books,30 Sep 2016,272,SIMON & SCHUSTER,English,,,,,,,,,,
842,Cincuenta Sombras Liberadas,E L James:María del Puerto Barruetabeña Díez,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,17 Jul 2012,650,Random House USA Inc,English Spanish,,,,,,,,,,
843,Nauti Boy,Lora Leigh,Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,25 Jul 2011,296,Penguin Putnam Inc,English,,,,,,,,,,
844,The Saint,Tiffany Reisz,Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,27 May 2014,448,HarperCollins Publishers,English,,,,,,,,,,
845,Odd is on Our Side,Dean Koontz:Fred Van Lente:Queenie Chan,Erotic Fiction:Graphic Novels: Manga:Graphic Novels: Manga,30 Sep 2010,192,HarperCollins Publishers,English,,,,,,,,,,
846,The Claiming of Sleeping Beauty,Anne Rice,Contemporary Fiction:Horror:Horror:Fantasy:Fantasy Books:Erotic Fiction,22 Jul 2011,253,Penguin Putnam Inc,English,,,,,,,,,,
847,Cherished,Maya Banks:Lauren Dane,Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,07 Aug 2012,360,Penguin Putnam Inc,English,,,,,,,,,,
848,Darling Beast,Elizabeth Hoyt,Contemporary Fiction:Erotic Fiction:Myth & Legend Told As Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance:Historical Fiction,14 Oct 2014,328,Little Brown & Company,English,,,,,,,,,,
849,A Passion for Him,Sylvia Day,Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance:Historical Fiction,11 Jul 2013,272,Penguin Books Ltd,English,,,,,,,,,,
850,Double Time : Sinners on Tour,Olivia Cunning,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,15 Nov 2012,406,Sourcebooks Inc,English,,,,,,,,,,
851,Killman Creek,Rachel Caine,Contemporary Fiction:Thriller Books:Thrillers,12 Dec 2017,348,Amazon Publishing,English,,,,,,,,,,
852,Anything He Wants : Dominated by the Billionaire,Sara Fawkes,Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Feb 2013,288,St Martin's Press,English,,,,,,,,,,
853,Forbidden Flowers,Nancy Friday,Erotic Fiction:Gender Studies: Women:Psychology:Sexual Behaviour:Family & Relationships,01 Feb 1991,324,SIMON & SCHUSTER,English,,,,,,,,,,
854,The Mammoth Book of Quick & Dirty Erotica,Maxim Jakubowski,Erotic Fiction,18 Apr 2013,576,Little Brown Book Group,English,,,,,,,,,,
855,Erotic Bondage Book,Jay Wiseman,Erotic Fiction:Gender Studies Gender Groups:Sex & Sexuality Sex Manuals:Personal Development,31 Dec 2016,324,Greenery Press,English,,,,,,,,,,
856,Lady Boss,Jackie Collins,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Feb 1998,630,SIMON & SCHUSTER,English,,,,,,,,,,
857,Eighty Days Amber,Vina Jackson,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,22 Nov 2012,304,Orion Publishing Co,English,,,,,,,,,,
858,When I'm With You Complete Novel (Because You Are Mine Series #2),Beth Kery,Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,12 Sep 2013,448,Headline Publishing Group,English,,,,,,,,,,
859,House of Decadence,Marina Anderson,Erotic Fiction:Romance:Romance Books,01 May 2014,320,Little Brown Book Group,English,,,,,,,,,,
860,Be With Me,Maya Banks,Crime:Crime Fiction:Thriller Books:Thrillers:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,07 Nov 2013,330,Penguin Putnam Inc,English,,,,,,,,,,
861,The Color of Law,Mark Gimenez,Crime:Crime Fiction:Thriller Books:Thrillers:Political & Legal:Political & Legal,29 Aug 2006,410,Random House USA Inc,English,,,,,,,,,,
862,Nauti Nights,Lora Leigh,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,24 Feb 2011,314,Penguin Putnam Inc,English,,,,,,,,,,
863,Ask for It,Sylvia Day,Thriller Books:Thrillers:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance:Sagas:Historical Fiction,27 Nov 2012,311,Kensington Publishing,English,,,,,,,,,,
864,Claim Me : The Stark Series #2,J Kenner,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,23 May 2013,371,Bantam,English,,,,,,,,,,
865,Wicked Pleasure : A Bound Hearts Novel,Lora Leigh,Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,09 Jun 2008,352,Griffin Publishing,English,,,,,,,,,,
866,Hot Ticket : Sinners on Tour,Olivia Cunning,Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,05 Feb 2013,391,Sourcebooks Inc,English,,,,,,,,,,
867,Frenzy : 60 Stories of Sudden Sex,Alison Tyler,Erotic Fiction,01 Feb 2012,215,Cleis Press,English,,,,,,,,,,
868,Knight,Kristen Ashley,Erotic Fiction,05 Sep 2013,275,Kristen Ashley,English,,,,,,,,,,
869,120 Days Of Sodom,Marquis de Sade,Classic Books & Novels:Erotic Fiction,01 Jun 2012,312,Sun Vision Press,English,,,,,,,,,,
870,Don't Tempt Me,Sylvia Day,Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance:Historical Fiction,01 Aug 2013,288,Penguin Books Ltd,English,,,,,,,,,,
871,Sweet Surrender,Maya Banks,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,07 Feb 2013,314,Penguin Putnam Inc,English,,,,,,,,,,
872,Thrown by a Curve,Jaci Burton,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,05 Mar 2013,339,Penguin Putnam Inc,English,,,,,,,,,,
873,Only Pleasure : A Bound Hearts Novel,Lora Leigh,Erotic Fiction:Romance:Romance Books,02 Feb 2009,352,Griffin Publishing,English,,,,,,,,,,
874,Nauti Deceptions,Lora Leigh,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,22 Jul 2011,373,Penguin Putnam Inc,English,,,,,,,,,,
875,Ripped,Katy Evans,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,09 Dec 2014,336,SIMON & SCHUSTER,English,,,,,,,,,,
876,The Bride Stripped Bare,Nikki Gemmell,Erotic Fiction,28 Aug 2012,371,HarperCollins Publishers Inc,English,,,,,,,,,,
877,The Angel,Tiffany Reisz,Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,05 Oct 2012,416,HarperCollins Publishers,English,,,,,,,,,,
878,Sexus,Henry Miller,Erotic Fiction,06 Aug 2015,512,Penguin Books Ltd,English,,,,,,,,,,
879,In Bed With... : Erotic Stories,Imogen Edwards-Jones:Jessica Adams:Maggie Alderson:Kathy Lette,Erotic Fiction:Short Story Books,27 Jan 2009,352,Little Brown Book Group,English,,,,,,,,,,
880,Death in Venice,Thomas Mann:Joachim Neugroschel,Contemporary Fiction:Classic Books & Novels:Erotic Fiction:Short Story Books,27 May 1999,384,Penguin Books Australia,English,,,,,,,,,,
881,Grounded,R K Lilley,Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,02 Nov 2013,373,R.K. Lilley,English,,,,,,,,,,
882,Nauti Dreams,Lora Leigh,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,25 Aug 2011,312,Penguin Putnam Inc,English,,,,,,,,,,
883,Forbidden Pleasure,Lora Leigh,Erotic Fiction,06 Dec 2007,320,Griffin Publishing,English,,,,,,,,,,
884,The Ninety Days Of Genevieve,Lucinda Carrington,Erotic Fiction:Romance:Romance Books,25 Sep 2012,272,Ebury Publishing,English,,,,,,,,,,
885,Their Virgin Captive,Shayla Black:Lexi Blake,Erotic Fiction,24 Sep 2013,279,Penguin Putnam Inc,English,,,,,,,,,,
886,Justine or the Misfortunes of Virtue,Marquis de Sade:John Phillips,Classic Books & Novels:Erotic Fiction:Fiction In Translation,20 Jan 2013,320,Oxford University Press,English,,,,,,,,,,
887,The Submissive,Tara Sue Me,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,04 Jun 2013,291,Berkley Books,English,,,,,,,,,,
888,Desire : 100 of Literature's Sexiest Stories,Mariella Frostrup,Anthologies (non-poetry):Erotic Fiction,06 Oct 2016,800,Head of Zeus,English,,,,,,,,,,
889,Cage Of Bones : Death is the only escape,Tania Carver,Contemporary Fiction:Thriller Books:Thrillers,15 Sep 2011,544,Little Brown Book Group,English,,,,,,,,,,
890,Philosophy in the Boudoir : Or the Immoral Mentors,Marquis de Sade,Contemporary Fiction:Classic Books & Novels:Erotic Fiction:Fiction In Translation:Political Ideologies,21 Jun 2011,192,Penguin Books Ltd,English,,,,,,,,,,
891,Nautier and Wilder,Lora Leigh:Jaci Burton,Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,02 Apr 2013,352,Penguin Putnam Inc,English,,,,,,,,,,
892,Complete Me : The Stark Series #3,J Kenner,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,30 Jul 2013,308,Bantam,English,,,,,,,,,,
893,Seduced in the Dark : The Dark Duet,Cj Roberts,Erotic Fiction,31 Mar 2014,512,Neurotica Books,English,,,,,,,,,,
894,Passage : A Novel,Connie Willis,Contemporary Fiction:Science Fiction:Science Fiction,02 Jan 2002,780,Random House USA Inc,English,,,,,,,,,,
895,One Sweet Ride,Jaci Burton,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,04 Jun 2013,323,Berkley Publishing Group,English,,,,,,,,,,
896,Because We Belong (Because You Are Mine Series #3),Beth Kery,Erotic Fiction:Romance:Romance Books,05 Nov 2013,416,Headline Publishing Group,English,,,,,,,,,,
897,The Lottery Winner : Alvirah and Willy Stories,Mary Higgins Clark,Contemporary Fiction:Crime:Crime Fiction:Thriller Books:Thrillers:Short Story Books,05 Nov 1996,304,SIMON & SCHUSTER,English,,,,,,,,,,
898,Best Women's Erotica 2011,Violet Blue,Anthologies (non-poetry):Erotic Fiction:Short Story Books,01 Dec 2010,256,Cleis Press,English,,,,,,,,,,
899,My Mother Madame Edwarda The Dead Man,Georges Bataille,Contemporary Fiction:Erotic Fiction:Short Story Books,07 Jun 2012,208,Penguin Books Ltd,English,,,,,,,,,,
900,Season of Passion : Seasons series Book 2,Sadie Matthews,Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,15 Sep 2015,320,Hodder & Stoughton General Division,English,,,,,,,,,,
901,Heated: Most Wanted Book 2,J. Kenner,Erotic Fiction:Romance:Romance Books,06 Jun 2014,416,Headline Publishing Group,English,,,,,,,,,,
902,Passion for the Game,Sylvia Day,Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,21 Jun 2013,288,Penguin Books Ltd,English,,,,,,,,,,
903,Dirty,Megan Hart,Erotic Fiction:Romance:Romance Books,04 Sep 2012,425,Mira Books,English,,,,,,,,,,
904,Heartsick : A Thriller,Chelsea Cain,Contemporary Fiction:Thriller Books:Thrillers,29 Jul 2008,337,St Martin's Press,English,,,,,,,,,,
905,The Red : An Erotic Fantasy,Tiffany Reisz,Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,07 May 2017,233,Createspace Independent Publishing Platform,English,,,,,,,,,,
906,Nauti Intentions,Lora Leigh,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,03 Nov 2011,330,Penguin Putnam Inc,English,,,,,,,,,,
907,The Back Passage,James Lear,Contemporary Fiction:Erotic Fiction,10 May 2006,176,Cleis Press,English,,,,,,,,,,
908,Menage,Emma Holly,Erotic Fiction,22 Apr 2010,288,Ebury Publishing,English,,,,,,,,,,
909,Swallowing Darkness : Urban Fantasy (Merry Gentry 7),Laurell K. Hamilton,Fantasy:Fantasy Books:Erotic Fiction,05 Nov 2009,528,Transworld Publishers Ltd,English,,,,,,,,,,
910,Cry No More : A Novel,Linda Howard,Contemporary Fiction:Crime:Crime Fiction:Thriller Books:Thrillers:Adventure Books:Romance:Romance Books,27 Apr 2004,400,Random House USA Inc,English,,,,,,,,,,
911,Wicked Beat,Olivia Cunning,Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,12 Sep 2013,416,Sourcebooks Inc,English,,,,,,,,,,
912,The Flirtation: Submissive 9,Tara Sue Me,Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,08 Aug 2017,384,Headline Publishing Group,English,,,,,,,,,,
913,One in a Million,Jill Shalvis,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,20 Oct 2014,352,Little Brown & Company,English,,,,,,,,,,
914,What a Duke Dares,Anna Campbell,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,26 Aug 2014,421,FOREVER,English,,,,,,,,,,
915,Knight Takes Queen,C. C. Gibbs,Erotic Fiction,04 Dec 2013,432,Quercus Publishing,English,,,,,,,,,,
916,Own the Wind : A Chaos Novel,Kristen Ashley,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,28 Apr 2015,434,Little Brown & Company,English,,,,,,,,,,
917,Hotter Than Wildfire : A Protector's Novel: Delta Force,Lisa Marie Rice,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Jun 2011,335,HarperCollins Publishers Inc,English,,,,,,,,,,
918,Riding the Storm,Sydney Croft,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,28 Aug 2007,327,Bantam Doubleday Dell Publishing Group Inc,English,,,,,,,,,,
919,The King,Tiffany Reisz,Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,05 Dec 2014,448,HarperCollins Publishers,English,,,,,,,,,,
920,Ignited: Most Wanted Book 3,J. Kenner,Erotic Fiction:Romance:Romance Books,09 Sep 2014,320,Headline Publishing Group,English,,,,,,,,,,
921,The Training,Tara Sue Me,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Oct 2013,326,New American Library,English,,,,,,,,,,
922,Since I Saw You (Because You Are Mine Series #4),Beth Kery,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,05 Jun 2014,352,Headline Publishing Group,English,,,,,,,,,,
923,The Erotic Poems,Ovid:Peter Green,Poetry By Individual Poets:Literary Studies: Classical Early & Medieval:Erotic Fiction,24 Feb 1983,464,Penguin Books Ltd,English,,,,,,,,,,
924,A Caress Of Twilight : Urban Fantasy (Merry Gentry 2),Laurell K. Hamilton,Fantasy:Fantasy Books:Erotic Fiction,03 Mar 2003,448,Transworld Publishers Ltd,English,,,,,,,,,,
925,Wanted: Most Wanted Book 1,J. Kenner,Erotic Fiction:Romance:Romance Books,01 Jul 2014,352,Headline Publishing Group,English,,,,,,,,,,
926,Seduced By Moonlight : (Merry Gentry 3),Laurell K. Hamilton,Fantasy:Fantasy Books:Erotic Fiction,14 Jan 2005,512,Transworld Publishers Ltd,English,,,,,,,,,,
927,Erotic Stories for Punjabi Widows,Balli Kaur Jaswal,Contemporary Fiction:Erotic Fiction,13 Jun 2017,298,William Morrow & Company,English,,,,,,,,,,
928,Lead & Deep : Two Stage Dive Novels,Kylie Scott,Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,06 Dec 2016,601,St. Martin's Press,English,,,,,,,,,,
929,Black Lace Quickies 5,Black Lace,Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,15 Nov 2007,128,Ebury Publishing,English,,,,,,,,,,
930,A Scoundrel by Moonlight,Anna Campbell,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,28 Apr 2015,398,FOREVER,English,,,,,,,,,,
931,Nightfire : A Protectors Novel: Marine Force Recon,Lisa Marie Rice,Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,27 Mar 2012,308,HarperCollins Publishers Inc,English,,,,,,,,,,
932,The Mammoth Book of Short Erotic Novels,Maxim Jakubowski,Anthologies (non-poetry):Erotic Fiction:Short Story Books,27 Jan 2000,544,Little Brown Book Group,English,,,,,,,,,,
933,Tucker's Claim,Sarah McCarty,Westerns:Erotic Fiction:Romance:Romance Books:Historical Romance:Historical Romance,15 Feb 2011,345,Harlequin Books,English,,,,,,,,,,
934,Reckless Night and Hot Secrets,Lisa Marie Rice,Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,27 Mar 2012,123,HarperCollins Publishers Inc,English,,,,,,,,,,
935,Season of Desire: Season of Desire Season of Desire Bk. 1,Sadie Matthews,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,24 Apr 2014,400,Hodder & Stoughton General Division,English,,,,,,,,,,
936,Yearn,Tobsha Learner,Erotic Fiction,04 Oct 2012,400,Little Brown Book Group,English,,,,,,,,,,
937,Best Women's Erotica 2010,Violet Blue,Erotic Fiction:Short Story Books,26 Nov 2009,244,Cleis Press,English,,,,,,,,,,
938,The Girl Before : A Novel,Rena Olsen,Contemporary Fiction:Crime:Crime Fiction:Thriller Books:Thrillers,11 Aug 2016,320,Penguin Putnam Inc,English,,,,,,,,,,
939,The Unidentified Redhead,Alice Clayton,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,24 Oct 2013,336,SIMON & SCHUSTER,English,,,,,,,,,,
940,Black Lace Quickies 3,Kristina Lloyd:Maya Hess:A. D. R. Forte:Cal Jago:Candy Wong:Teresa Noelle Roberts,Erotic Fiction:Short Story Books,15 Oct 2007,128,Ebury Publishing,English,,,,,,,,,,
