Title,Authors,Genres,Publishing Date,Pages,Publisher,Language
Pride and Prejudice,Jane Austen:Vivien Jones:Tony Tanner,Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance:People & Places,30 Jan 2003,448,Penguin Books Ltd,English
Dr Jekyll and Mr Hyde,Robert Louis Stevenson,Contemporary Fiction:Classic Books & Novels:Romance:Romance Books,06 Dec 2012,128,Penguin Books Ltd,English
After You,Jojo Moyes,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,30 Jun 2016,448,Penguin Books Ltd,English
The Pearl Sister,Lucinda Riley,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance:Historical Fiction,02 Nov 2017,704,Pan MacMillan,English
Crazy Rich Asians : The international bestseller now a major film in 2018,Kevin Kwan,Contemporary Fiction:Romance:Romance Books,01 May 2014,416,ATLANTIC BOOKS,English
Call Me by Your Name : A Novel,Andre Aciman,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,03 Oct 2017,256,Picador/Farrar Straus and Giroux,English
China Rich Girlfriend : There's Rich There's Filthy Rich and Then There's China Rich...,Kevin Kwan,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,19 Jul 2016,400,Allen & Unwin,English
Lover Avenged,J R Ward,Romance:Romance Books,25 Jul 2011,655,Penguin Putnam Inc,English
Giovanni's Room,James Baldwin,Contemporary Fiction:Romance:Romance Books,01 May 2010,160,Penguin Books Ltd,English
The Storm Sister,Lucinda Riley,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,21 Apr 2016,720,Pan MacMillan,English
Craving : Steel Brothers: One,Helen Hardt,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,03 May 2016,288,Waterhouse Press,English
Unraveled : Steel Brothers: Nine,Helen Hardt,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,13 Feb 2018,288,Waterhouse Press,English
Lover Unleashed,J R Ward,Romance:Romance Books,01 Nov 2011,548,Penguin Putnam Inc,English
The Shadow Sister,Lucinda Riley,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance:Historical Fiction:Sci Fi Books for Kids,20 Apr 2017,704,Pan MacMillan,English
The One Plus One,Jojo Moyes,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,05 Feb 2015,560,Penguin Books Ltd,English
The Black Moon,Winston Graham,Contemporary Fiction:Historical Romance:Historical Romance:Sagas:Historical Fiction,04 Jun 2008,560,Pan MacMillan,English
Lover Mine : A Novel of the Black Dagger Brotherhood,J R Ward,Romance:Romance Books,25 Jul 2011,633,Penguin Putnam Inc,English
Beneath a Scarlet Sky : A Novel,Mark T. Sullivan,Contemporary Fiction:World War 2 Fiction:Romance:Romance Books:Sagas:Historical Fiction,01 May 2017,524,Amazon Publishing,English
Fire After Dark (After Dark Book 1),Sadie Matthews,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,16 Aug 2012,384,Hodder & Stoughton General Division,English
Shogun : A Novel of Japan,James Clavell,Contemporary Fiction:Adventure Books:Historical Romance:Historical Romance:Sagas:Historical Fiction,01 Sep 2011,1210,Bantam Doubleday Dell Publishing Group Inc,English
The Left Hand of Darkness,Ursula K. LeGuin,Science Fiction:Science Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,13 Apr 2017,336,Orion Publishing Co,English
Warleggan,Winston Graham,Contemporary Fiction:Historical Romance:Historical Romance:Sagas:Historical Fiction,06 Jun 2008,480,Pan MacMillan,English
The Light We Lost,Jill Santopolo,Contemporary Fiction:Romance:Romance Books,22 Feb 2018,320,HarperCollins Publishers,English
Billy and Me,Giovanna Fletcher,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,23 May 2013,432,Penguin Books Ltd,English
Sense and Sensibility (Vintage Classics Austen Series),Jane Austen:Francesca Segal,Contemporary Fiction:Classic Books & Novels:Romance:Romance Books,01 Nov 2014,464,Vintage Publishing,English
Still Me : The No. 1 Sunday Times Bestseller,Jojo Moyes,Contemporary Fiction:Romance:Romance Books,23 Jan 2018,480,Penguin Books Ltd,English
See Me,Nicholas Sparks,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,16 Jun 2016,512,Little Brown Book Group,English
The Sparsholt Affair,Alan Hollinghurst,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,26 Sep 2017,464,Pan MacMillan,English
Without Merit : A Novel,Colleen Hoover,Contemporary Fiction:Thriller Books:Thrillers:Adult & Contemporary Romance:Adult & Contemporary Romance,05 Oct 2017,384,Atria Books,English
Twisted,Helen Hardt,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,26 Dec 2017,288,Waterhouse Press,English
Still Me : The No. 1 Sunday Times Bestseller,Jojo Moyes,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,25 Jan 2018,480,Penguin Books Ltd,English
Emma (Vintage Classics Austen Series),Jane Austen:Sir Andrew Motion,Classic Books & Novels:Romance:Romance Books,01 Nov 2014,592,Vintage Publishing,English
Something Blue,Emily Giffin,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,26 Apr 2011,374,St Martin's Press,English
Lover Reborn,J R Ward,Horror:Horror:Romance:Romance Books,02 Oct 2012,627,Penguin Putnam Inc,English
Crossing to Safety,Wallace Stegner:Tempest Williams,Contemporary Fiction:Classic Books & Novels:Adult & Contemporary Romance:Adult & Contemporary Romance,08 Apr 2008,352,Random House USA Inc,English
Persuasion (Vintage Classics Austen Series),Jane Austen:Lynne Truss:Francesca Segal,Contemporary Fiction:Classic Books & Novels:Romance:Romance Books,01 Nov 2014,320,Vintage Publishing,English
Crave : A Novel of the Fallen Angels,J R Ward,Thriller Books:Thrillers:Horror:Horror:Romance:Romance Books,25 Jul 2011,464,Penguin Putnam Inc,English
The End Of The Affair,Graham Greene:Monica Ali,Contemporary Fiction:Military Fiction:World War 2 Fiction:Historical Romance:Historical Romance:Historical Fiction:English Language: Reading & Writing Skills,02 Nov 2004,192,Vintage Publishing,English
Surrender : Steel Brothers: Six,Helen Hardt,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,16 May 2017,288,Waterhouse Press,English
Summer at Little Beach Street Bakery : W&H Readers Best Feel-Good Read,Jenny Colgan,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,26 Feb 2015,448,Little Brown Book Group,English
Practical Magic : The Beloved Novel of Love Friendship Sisterhood and Magic,Alice Hoffman,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Religious & Spiritual Fiction,19 Oct 2017,288,Simon & Schuster Ltd,English
Lover Awakened : A Novel of the Black Dagger Brotherhood,J. R. Ward,Crime:Crime Fiction:Romance:Romance Books,25 Jul 2011,464,Penguin Putnam Inc,English
The Capture of the Earl of Glencrae,Stephanie Laurens,Contemporary Fiction:Historical Romance:Historical Romance:Historical Fiction,01 May 2012,496,HarperCollins Publishers Inc,English
Smokin' Seventeen,Janet Evanovich,Contemporary Fiction:Crime:Crime Fiction:Romance:Romance Books,19 Nov 2011,324,Random House USA Inc,English
Secrets After Dark (After Dark Book 2) : Book Two in the After Dark series,Sadie Matthews,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,25 Jan 2013,384,Hodder & Stoughton General Division,English
The French Lieutenant's Woman,John Fowles,Classic Books & Novels:Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,11 Nov 2004,480,Vintage Publishing,English
Little Beach Street Bakery,Jenny Colgan,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,13 Mar 2014,464,Little Brown Book Group,English
Blood Magick,Nora Roberts,Romance:Romance Books,28 Oct 2014,322,Penguin Putnam Inc,English
One Grave at a Time : A Night Huntress Novel,Jeaniene Frost,Fantasy:Fantasy Books:Romance:Romance Books,01 Oct 2011,384,HarperCollins Publishers Inc,English
Jane Eyre (Vintage Classics Bronte Series),Charlotte Bronte:Maggie O'Farrell,Classic Books & Novels:Romance:Romance Books,01 Apr 2016,672,Vintage Publishing,English
Faking Friends : THE SUNDAY TIMES BESTSELLER,Jane Fallon,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,17 Jan 2018,448,Penguin Books Ltd,English
Lover Eternal,J. R. Ward,Fantasy:Fantasy Books:Romance:Romance Books,25 Jul 2011,464,Penguin Putnam Inc,English
Someday Someday Maybe,Lauren Graham,Contemporary Fiction:Romance:Romance Books,03 Apr 2014,368,Random House USA Inc,English
The Best Exotic Marigold Hotel,Deborah Moggach,Contemporary Fiction:Romance:Romance Books,23 Apr 2012,304,Vintage Publishing,English
Melt : Steel Brothers: Four,Helen Hardt,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,20 Dec 2016,288,Waterhouse Press,English
Truly Madly Guilty,Liane Moriarty,Contemporary Fiction:Crime:Crime Fiction:Thriller Books:Thrillers:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,24 Jan 2017,480,Penguin Books Ltd,English
The King,J R Ward,Contemporary Fiction:Fantasy:Fantasy Books:Romance:Romance Books,26 Aug 2014,620,Berkley Books,English
The Loveliest Chocolate Shop in Paris,Jenny Colgan,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,14 Mar 2013,464,Little Brown Book Group,English
Destined to Play,Indigo Bloome,Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,27 Aug 2012,288,HarperCollins Publishers,English
Burn : Steel Brothers: Five,Helen Hardt,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,14 Feb 2017,288,Waterhouse Press,English
Shadow Spell,Nora Roberts,Romance:Romance Books,06 May 2014,339,Penguin Putnam Inc,English
Lover Enshrined : A Novel of the Black Dagger Brotherhood,J. R. Ward,Romance:Romance Books,04 Jul 2008,560,Penguin Books Australia,English
We Have Always Lived in the Castle,Shirley Jackson:Jonathan Lethem:Thomas Ott,Contemporary Fiction:Thriller Books:Thrillers:Horror:Horror:Romance:Romance Books,28 Nov 2006,146,Penguin Books,English
Lover Unbound,J R Ward,Romance:Romance Books,25 Jul 2011,509,Penguin Putnam Inc,English
