Title,Authors,Genres,Publishing Date,Pages,Publisher,Language
Sunstone Book Two,Stjepan Sejic,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Graphic Novels Anime & Manga:Graphic Novels Anime & Manga,28 Nov 2017,464,Image Comics,English
Born in Ice,Nora Roberts,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Nov 1996,371,Penguin Putnam Inc,English
Mariana,Monica Dickens:Harriet Lane,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Feb 2009,377,Persephone Books Ltd,English
Fire In You : Volume Six,Jennifer L. Armentrout:J. Lynn,Adult & Contemporary Romance:Adult & Contemporary Romance,26 Apr 2017,368,Hodder & Stoughton General Division,English
Searching for Perfect,Jennifer Probst,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,27 May 2014,384,SIMON & SCHUSTER,English
Spellbound Falls,Janet Chapman,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,28 Feb 2012,343,Penguin Putnam Inc,English
On My Knees,Meredith Wild,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,19 Mar 2014,352,Waterhouse Press,English
Close Contact,Lori Foster,Adult & Contemporary Romance:Adult & Contemporary Romance,28 Nov 2017,384,HQN,English
Smitten,Janet Evanovich,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,03 Sep 2009,250,HarperCollins Publishers Inc,English
This Charming Man,Marian Keyes,Fiction Books:Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Sagas:Funny Books & Stories,30 May 2017,912,Penguin Books Ltd,English
Last Call,Alice Clayton,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Jun 2015,176,SIMON & SCHUSTER,English
Wyoming Bold,Diana Palmer,Adult & Contemporary Romance:Adult & Contemporary Romance,29 Oct 2013,384,Harlequin,English
The Sparsholt Affair,Alan Hollinghurst,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,03 May 2018,448,Pan MacMillan,English
A Secret Garden,Katie Fforde,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,28 Mar 2017,384,Cornerstone,English
About That Kiss : A Heartbreaker Bay Novel,Jill Shalvis,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,23 Jan 2018,384,AVON BOOKS,English
Hero,Samantha Young,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,05 Mar 2015,400,Little Brown Book Group,English
Courting Carolina,Janet Chapman,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,28 Aug 2012,295,Penguin Putnam Inc,English
Dating You / Hating You,Christina Lauren,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,06 Jun 2017,353,Gallery Books,English
Sleepless In Manhattan,Sarah Morgan,Adult & Contemporary Romance:Adult & Contemporary Romance,10 Mar 2016,384,HarperCollins Publishers,English
Keep Me Safe : A Slow Burn Novel,Maya Banks,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,10 Oct 2014,304,HarperCollins Publishers Inc,English
Entranced,Nora Roberts,Adult & Contemporary Romance:Adult & Contemporary Romance,01 Feb 2011,336,HarperCollins Publishers,English
Sanctuary,Nora Roberts,Contemporary Fiction:Crime:Crime Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,01 May 1998,506,Penguin Putnam Inc,English
Back In Black,Lori Foster,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,25 Jul 2011,308,Penguin Putnam Inc,English
Nice Girls Don't Date Dead Men,Molly Harper,Horror:Horror:Fantasy:Fantasy Books:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,25 Aug 2009,376,SIMON & SCHUSTER,English
A Sport and a Pastime,James Salter,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,03 Jul 2014,208,Pan MacMillan,English
Lost Rider,Harper Sloan,Contemporary Fiction:Westerns:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,25 Apr 2017,372,POCKET BOOKS,English
The Fixed Trilogy,Laurelin Paige,Adult & Contemporary Romance:Adult & Contemporary Romance,04 Oct 2014,778,Paige Press,English
The Seven Husbands of Evelyn Hugo : A Novel,TAYLOR JENKINS REID,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,29 May 2018,400,SIMON & SCHUSTER,English
Christmas Under the Stars,Karen Swan,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,03 Nov 2016,512,Pan MacMillan,English
Tempting Danger,Eileen Wilks,Contemporary Fiction:Thriller Books:Thrillers:Fantasy:Fantasy Books:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,21 Jul 2009,309,Penguin Putnam Inc,English
The Apartment,Danielle Steel,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,26 Jan 2017,400,Transworld Publishers Ltd,English
Born in Shame,Nora Roberts,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,03 Feb 2007,357,Penguin Putnam Inc,English
Catching Snowflakes : Local Hero / a Will and a Way,Nora Roberts,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,04 Oct 2013,512,HarperCollins Publishers,English
Born of Fury : The League: Nemesis Rising,Sherrilyn Kenyon,Adventure Books:Science Fiction:Science Fiction:Fantasy:Fantasy Books:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,02 Mar 2015,576,St. Martin's Press,English
Only Yours,Susan Mallery,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Oct 2011,378,HarperCollins Publishers,English
Twelve Lessons,Kate Spencer,Adult & Contemporary Romance:Adult & Contemporary Romance,28 Oct 2015,416,Katherine Spencer,English
Lyrebird : Beautiful Moving and Uplifting: the Perfect Holiday Read,Cecelia Ahern,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,03 Nov 2016,432,HarperCollins Publishers,English
Hardwired : (The Hacker Series Book 1),Meredith Wild,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,10 Aug 2015,288,Transworld Publishers Ltd,English
Hot Stuff,Janet Evanovich,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,03 Apr 2007,281,St Martin's Press,English
Wild Cat : A Shifters Unbound Novel,Jennifer Ashley,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,12 Apr 2012,312,Penguin Putnam Inc,English
Dragonsworn,Sherrilyn Kenyon,Fantasy:Fantasy Books:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,03 Aug 2017,352,Little Brown Book Group,English
The Road Back,Di Morrissey,Contemporary Fiction:Thriller Books:Thrillers:Adult & Contemporary Romance:Adult & Contemporary Romance:Sagas,27 Jul 2015,448,Pan MacMillan,English
Closer Than You Think,Karen Rose,Crime:Crime Fiction:Thriller Books:Thrillers:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,02 Mar 2015,678,Berkley Books,English
Uneasy Alliance,Jayne Ann Krentz,Adult & Contemporary Romance:Adult & Contemporary Romance,01 Jun 2009,224,HarperCollins Publishers,English
Death Magic : A Novel of the Lupi,Eileen Wilks,Fantasy:Fantasy Books:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,19 Jan 2012,404,Penguin Putnam Inc,English
Undertaking Love,Kat French,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,19 Jun 2014,416,HarperCollins Publishers,English
A Girl's Best Friend,Lindsey Kelk,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,05 Nov 2015,400,HarperCollins Publishers,English
Scandalous,Tilly Bagshawe,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,24 Jun 2010,400,HarperCollins Publishers,English
Lucy in the Sky,Paige Toon,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,05 Apr 2016,416,Simon & Schuster Ltd,English
Nice Girls Don't Bite Their Neighbors,Molly Harper,Fantasy:Fantasy Books:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,28 Feb 2012,337,SIMON & SCHUSTER,English
All Summer Long,Susan Mallery,Adult & Contemporary Romance:Adult & Contemporary Romance,31 Jul 2012,376,HarperCollins Publishers,English
The Trip of a Lifetime,Monica McInerney,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Sagas,03 Aug 2017,464,Penguin Books Ltd,English
Best Laid Plans,Kathy Lette,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,13 Jul 2017,320,Transworld Publishers Ltd,English
The Kiss,Danielle Steel,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Oct 2002,448,Transworld Publishers Ltd,English
Born In Shame : Number 3 in series,Nora Roberts,Adult & Contemporary Romance:Adult & Contemporary Romance:Sagas,18 Jun 2009,352,Little Brown Book Group,English
The Heavenly Italian Ice Cream Shop,Abby Clements,Contemporary Fiction:Thriller Books:Thrillers:Adult & Contemporary Romance:Adult & Contemporary Romance,03 May 2016,368,Simon & Schuster Ltd,English
A Secret Garden,Katie Fforde,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,08 Feb 2018,400,Cornerstone,English
Jilted,Rachael Johns,Adult & Contemporary Romance:Adult & Contemporary Romance,30 Sep 2014,377,Harlequin,English
The Stolen Marriage,Diane Chamberlain,Contemporary Fiction:Thriller Books:Thrillers:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,11 Jan 2018,528,Pan MacMillan,English
Fall With Me,Jennifer L. Armentrout,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,31 Mar 2015,384,HarperCollins Publishers Inc,English
Rival,Penelope Douglas,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,06 Nov 2014,368,Little Brown Book Group,English
In Flight,R K Lilley,Adult & Contemporary Romance:Adult & Contemporary Romance,12 Mar 2014,302,R.K. Lilley,English
For the Love of Magic,Janet Chapman,Horror:Horror:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,27 Aug 2013,294,Penguin Putnam Inc,English
Like a Memory,Abbi Glines,Adult & Contemporary Romance:Adult & Contemporary Romance,07 Feb 2017,None,Abbi Glines,English
Lyrebird : Beautiful Moving and Uplifting: the Perfect Holiday Read,Cecelia Ahern,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Nov 2016,432,HarperCollins Publishers,English
Naked Edge,Pamela Clare,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,25 Jul 2011,387,Penguin Putnam Inc,English
Lover Mine : Number 8 in series,J. R. Ward,Fantasy:Fantasy Books:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,03 Feb 2011,672,Little Brown Book Group,English
The Heart of a Hero,Janet Chapman,Horror:Horror:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,05 Mar 2013,359,Penguin Putnam Inc,English
Night Whispers,Judith McNaught,Crime:Crime Fiction:Vintage Crime:Vintage Crime:Thriller Books:Thrillers:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,20 Jul 1999,464,SIMON & SCHUSTER,English
Kiss Me Kill Me : A Novel of Suspense,Allison Brennan,Contemporary Fiction:Thriller Books:Thrillers:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,22 Feb 2011,404,Random House USA Inc,English
Born of Legend,Sherrilyn Kenyon,Adult & Contemporary Romance:Adult & Contemporary Romance,06 Apr 2017,736,Little Brown Book Group,English
In The Company Of Vampires : A Dark Ones Novel,Katie MacAlister,Fantasy:Fantasy Books:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,15 Sep 2011,344,Penguin Putnam Inc,English
Secrets Of The Demon,Diana Rowland,Contemporary Fiction:Crime:Crime Fiction:Fantasy:Fantasy Books:Adult & Contemporary Romance:Adult & Contemporary Romance,25 Jul 2011,384,Penguin Putnam Inc,English
Sweet Temptation,Lucy Diamond,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,26 Apr 2016,464,Pan MacMillan,English
A Country Christmas,Veronica Henry,Adult & Contemporary Romance:Adult & Contemporary Romance,28 Nov 2017,480,Orion Publishing Co,English
Tiger Magic : A Shifters Unbound Novel,Jennifer Ashley,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Aug 2013,314,Penguin Putnam Inc,English
No Limits,Lori Foster,Adult & Contemporary Romance:Adult & Contemporary Romance,26 Aug 2014,424,Harlequin,English
Sunset in St. Tropez : A Novel,Danielle Steel,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Sagas,03 Jun 2003,213,Random House USA Inc,English
In His Keeping : A Slow Burn Novel,Maya Banks,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,29 Jan 2015,432,HarperCollins Publishers Inc,English
Johnny Be Good,Paige Toon,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,04 Jul 2017,448,Simon & Schuster Ltd,English
Devil's Cut,J. R. Ward,Adult & Contemporary Romance:Adult & Contemporary Romance,27 Feb 2018,416,Little Brown Book Group,English
Holding Strong,Lori Foster,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,31 Mar 2015,475,Harlequin Books,English
If I Should Die,Allison Brennan,Thriller Books:Thrillers:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,22 Nov 2011,499,Random House USA Inc,English
The Stolen Marriage,Diane Chamberlain,Contemporary Fiction:Thriller Books:Thrillers:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,05 Oct 2017,384,Pan MacMillan,None
Moonlight Masquerade,Jude Deveraux,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Feb 2013,385,SIMON & SCHUSTER,English
River Road,Jayne Ann Krentz,Thriller Books:Thrillers:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Jun 2015,432,Berkley Books,English
Domina : More dangerous. More shocking. The thrilling new bestseller from the author of MAESTRA,L. S. Hilton,Art History:Religious Subjects Depicted In Art:Thriller Books:Thrillers:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Guidebooks,10 Aug 2017,432,Zaffre Publishing,English
Sunset In Central Park : The Perfect Romantic Comedy to Curl Up with This Autumn,Sarah Morgan,Adult & Contemporary Romance:Adult & Contemporary Romance,14 Jul 2016,368,HarperCollins Publishers,English
The Summer House,Santa Montefiore,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,25 Apr 2013,496,Simon & Schuster Ltd,English
Southern Lights,Danielle Steel,Crime:Crime Fiction:Political & Legal:Political & Legal:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Sagas,06 Dec 2011,401,Random House USA Inc,English
Four Letter Word,J. Daniels,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,04 Oct 2016,416,Little Brown Book Group,English
Any Dream Will Do : A Novel,Debbie Macomber,World War 2 Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Sagas:Religious & Spiritual Fiction,30 Jan 2018,384,Cornerstone,English
The Rosie Effect,Graeme Simsion,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,21 Jul 2015,344,SIMON & SCHUSTER,English
Envy : Number 3 in series,J. R. Ward,Fantasy:Fantasy Books:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,19 Sep 2011,480,Little Brown Book Group,English
See Me,Nicholas Sparks,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,30 May 2017,562,Vision,English
In Your Dreams,Kristan Higgins,Adult & Contemporary Romance:Adult & Contemporary Romance,30 Sep 2014,469,Harlequin,English
Colters' Promise,Maya Banks,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,02 Aug 2012,244,Penguin Putnam Inc,English
Something Like Summer,Jay Bell,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,08 Jan 2011,290,Createspace,English
Straight Talking,Jane Green,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,05 Sep 2005,304,Penguin Books Ltd,English
Trusting Sydney,Helen Hardt,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,07 Jun 2016,214,Waterhouse Press,English
Tender Triumph,Judith McNaught,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Jul 1994,375,SIMON & SCHUSTER,English
Stranger in the Moonlight,Jude Deveraux,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Oct 2012,362,SIMON & SCHUSTER,English
Pride Mates : A Shifters Unbound Novel,Jennifer Ashley,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,08 Sep 2011,296,Penguin Putnam Inc,English
Amaryllis,Jayne Castle,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Feb 2010,336,SIMON & SCHUSTER,English
A Special Relationship,Douglas Kennedy,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,24 Apr 2015,512,Cornerstone,English
Holiday Wishes : A Heartbreaker Bay Christmas Novella,Jill Shalvis,Adult & Contemporary Romance:Adult & Contemporary Romance,07 Nov 2017,128,AVON BOOKS,English
Nothing Less : The Landon Series 02,Anna Todd,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,30 Dec 2016,288,SIMON & SCHUSTER,English
The Silent Wife,Kerry Fisher,Adult & Contemporary Romance:Adult & Contemporary Romance,24 Feb 2017,352,Bookouture,English
What I Love about You,Rachel Gibson,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,26 Aug 2014,377,AVON BOOKS,English
Happiness for Humans : 'Very clever and great fun' - bestselling author Kate Eberlen,P. Z. Reizin,Contemporary Fiction:Science Fiction:Science Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,04 Jan 2018,448,Little Brown Book Group,English
Moonlight on Nightingale Way,Samantha Young,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,02 Jul 2015,352,Little Brown Book Group,English
Three Little Words,Susan Mallery,Adult & Contemporary Romance:Adult & Contemporary Romance,30 Jul 2013,329,Harlequin,English
A Time for Renewal : Book Two in the the gripping uplifting Rivenshaw Saga set at the close of World War Two,Anna Jacobs,Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance:Sagas,12 Jul 2016,352,Hodder & Stoughton General Division,English
Heroes Are My Weakness,Susan Elizabeth Phillips,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,15 Jan 2016,352,HarperCollins Publishers Inc,English
Shopaholic Ties The Knot : (Shopaholic Book 3),Sophie Kinsella,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,02 Jan 2006,400,Transworld Publishers Ltd,English
Drive Me Wild,Christine Warren,Fantasy:Fantasy Books:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,17 Dec 2012,304,St Martin's Press,English
The Day of the Storm,Rosamunde Pilcher,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,15 Feb 1997,264,St Martin's Press,English
Nauti Temptress,Lora Leigh,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,06 Nov 2012,324,Penguin Putnam Inc,English
Hot Finish,Erin McCarthy,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,22 Jul 2011,291,Penguin Putnam Inc,English
Forever Too Far,Abbi Glines,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,22 Apr 2014,255,Atria Books,English
Big Sky Summer,Linda Lael Miller,Adult & Contemporary Romance:Adult & Contemporary Romance,28 May 2013,313,Harlequin Books,English
Thursdays in the Park,Hilary Boyd,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Sep 2012,432,Quercus Publishing,English
Untraceable,Laura Griffin,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,08 Jan 2010,352,SIMON & SCHUSTER,English
Can't Let Go,Gena Showalter,Adult & Contemporary Romance:Adult & Contemporary Romance,31 Oct 2017,416,HQN,English
Walking Back To Happiness,Lucy Dillon,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,09 Dec 2010,416,Hodder & Stoughton General Division,English
Secret Star,Nora Roberts,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,06 Apr 2017,304,HarperCollins Publishers,English
Monday to Friday Man,Alice Peterson,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,21 Jul 2011,336,Quercus Publishing,English
The Christmas Secret,Karen Swan,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,20 Dec 2017,496,Pan MacMillan,English
Headed for Trouble,Suzanne Brockmann,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,30 Apr 2013,338,Random House USA Inc,English
Charmed,Nora Roberts,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Feb 2011,336,HarperCollins Publishers,English
The Good The Bad And The Dumped,Jenny Colgan,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,05 Dec 2013,352,Little Brown Book Group,English
Forever with You,Jennifer L. Armentrout,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,29 Sep 2015,384,HarperCollins Publishers Inc,English
Forever Buckhorn : Gabe\Jordan,Lori Foster,Adult & Contemporary Romance:Adult & Contemporary Romance,31 Jan 2012,425,HarperCollins Publishers,English
Tantalizing Maria,Helen Hardt,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,25 Oct 2016,200,Waterhouse Press,English
Hannah's List,Debbie Macomber,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,14 Sep 2010,416,Mira Books,English
After Dark,Jayne Castle,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,05 Sep 2000,336,Penguin Putnam Inc,English
Fighting Dirty : An Mma Romance,Lori Foster,Thriller Books:Thrillers:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,23 Feb 2016,443,Harlequin Books,English
Driftwood Cottage,Sherryl Woods,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,29 Mar 2011,376,Mira Books,English
The Winning Hand,Nora Roberts,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,04 Jul 2011,336,HarperCollins Publishers,English
The Other Side of the Story,Marian Keyes,Fiction Books:Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Sagas:Funny Books & Stories,28 Dec 2017,672,Penguin Books Ltd,English
The Rocky Road to Romance,Janet Evanovich,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,29 Nov 2011,266,Harper,English
Sense & Sensibility,Joanna Trollope,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,05 Jun 2014,416,HarperCollins Publishers,English
The House of Secrets : A beautiful and gripping story of believing in love and second chances,Sarra Manning,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,10 Aug 2017,448,Little Brown Book Group,English
I Do!,Rachel Gibson,Adult & Contemporary Romance:Adult & Contemporary Romance,17 Feb 2015,98,AVON BOOKS,English
Moonlight Cove,Sherryl Woods,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,26 Apr 2011,378,Mira Books,English
One Night in Italy,Lucy Diamond,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,21 Jun 2016,496,Pan MacMillan,English
First Star I See Tonight : A Chicago Stars Novel,Susan Elizabeth Phillips,Adult & Contemporary Romance:Adult & Contemporary Romance,06 Jul 2017,384,HarperCollins Publishers Inc,English
"Men Out of Uniform: Men Out of Uniform WITH ""Soul Possession"" AND ""Taking the Heat"" AND ""Wanted""",Maya Banks:Karin Tabke:Sylvia Day,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,04 Oct 2011,329,Penguin Putnam Inc,English
Touch of Red,Lecturer Laura Griffin,Thriller Books:Thrillers:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,31 Oct 2017,368,POCKET BOOKS,English
A Little Fate,Nora Roberts,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,25 May 2004,304,Penguin Putnam Inc,English
Sushi for Beginners,Marian Keyes,Fiction Books:Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Sagas:Funny Books & Stories,22 Feb 2001,592,Penguin Books Ltd,English
Paris for One and Other Stories,Jojo Moyes,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Short Story Books,01 Nov 2016,352,Penguin Books Ltd,English
Hell on Wheels,Julie Ann Walker,Thriller Books:Thrillers:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,15 Aug 2012,364,Sourcebooks Inc,English
High Noon,Nora Roberts,Contemporary Fiction:Thriller Books:Thrillers:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Jun 2008,483,Penguin Putnam Inc,English
Something Blue,Emily Giffin,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,21 Mar 2006,356,St Martin's Press,English
The Chase : A Fast Track Novel,Erin McCarthy,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,23 Jun 2011,304,Penguin Putnam Inc,English
Risk No Secrets,Cindy Gerard,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,18 May 2010,384,SIMON & SCHUSTER,English
Black Hills,Nora Roberts,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,25 Jul 2011,455,Penguin Putnam Inc,English
Scorched,Laura Griffin,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,30 Oct 2012,416,SIMON & SCHUSTER,English
Buckhorn Beginnings,Lori Foster,Adult & Contemporary Romance:Adult & Contemporary Romance,25 Oct 2011,504,HarperCollins Publishers,English
Dash of Peril,Lori Foster,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,25 Mar 2014,475,Harlequin Books,English
Sex Lies and Online Dating,Rachel Gibson,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Feb 2006,366,HarperCollins Publishers Inc,English
Zinnia,Jayne Castle,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Mar 2010,10,SIMON & SCHUSTER,English
Summer With My Sister,Lucy Diamond,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,29 Jun 2016,464,Pan MacMillan,English
After Julius,Elizabeth Jane Howard,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,02 Jul 2015,352,Pan MacMillan,English
